episode_name_number,episode,imdb_rating,season,season_ep_name
S1.E1 ∙ The Heirs of the Dragon,1,8.7,1,S1.E1: The Heirs of the Dragon
S1.E2 ∙ The Rogue Prince,2,8.3,1,S1.E2: The Rogue Prince
S1.E3 ∙ Second of His Name,3,8.7,1,S1.E3: Second of His Name
S1.E4 ∙ King of the Narrow Sea,4,8.4,1,S1.E4: King of the Narrow Sea
S1.E5 ∙ We Light the Way,5,8.8,1,S1.E5: We Light the Way
S1.E6 ∙ The Princess and the Queen,6,8,1,S1.E6: The Princess and the Queen
S1.E7 ∙ Driftmark,7,9.1,1,S1.E7: Driftmark
S1.E8 ∙ The Lord of the Tides,8,9.3,1,S1.E8: The Lord of the Tides
S1.E9 ∙ The Green Council,9,8.7,1,S1.E9: The Green Council
S1.E10 ∙ The Black Queen,10,9.3,1,S1.E10: The Black Queen
S2.E1 ∙ A Son for a Son,1,8.2,2,S2.E1: A Son for a Son
S2.E2 ∙ Rhaenyra the Cruel,2,8.2,2,S2.E2: Rhaenyra the Cruel
S2.E3 ∙ The Burning Mill,3,7.6,2,S2.E3: The Burning Mill
S2.E4 ∙ The Red Dragon and the Gold,4,9.5,2,S2.E4: The Red Dragon and the Gold
S2.E5 ∙ Regent,5,7.3,2,S2.E5: Regent
S2.E6 ∙ Smallfolk,6,6.2,2,S2.E6: Smallfolk
S2.E7 ∙ The Red Sowing,7,8.8,2,S2.E7: The Red Sowing
S2.E8 ∙ The Queen Who Ever Was,8,6.4,2,S2.E8: The Queen Who Ever Was
