season,episode,title,rating,votes
1,1,The One Where Monica Gets a Roommate,8.1,11300
1,2,The One with the Sonogram at the End,7.8,8806
1,3,The One with the Thumb,8,8277
1,4,The One with George Stephanopoulos,7.9,8027
1,5,The One with the East German Laundry Detergent,8.3,8037
1,6,The One with the Butt,8,7619
1,7,The One with the Blackout,8.9,9498
1,8,The One Where Nana Dies Twice,7.9,7473
1,9,The One Where Underdog Gets Away,8.1,7248
1,10,The One with the Monkey,7.9,7255
1,11,The One with Mrs. Bing,8,7148
1,12,The One with the Dozen Lasagnas,8,7011
1,13,The One with the Boobies,8.5,7486
1,14,The One with the Candy Hearts,8.1,6899
1,15,The One with the Stoned Guy,8.1,6950
1,16,The One with Two Parts: Part 1,8,6823
1,17,The One with Two Parts: Part 2,8.3,6966
1,18,The One with All the Poker,8.7,7653
1,19,The One Where the Monkey Gets Away,7.9,6672
1,20,The One with the Evil Orthodontist,7.7,6642
1,21,The One with the Fake Monica,7.6,6694
1,22,The One with the Ick Factor,8.1,6640
1,23,The One with the Birth,8.6,7048
1,24,The One Where Rachel Finds Out,8.8,7436
2,1,The One with Ross's New Girlfriend,8.4,6832
2,2,The One with the Breast Milk,8,6512
2,3,The One Where Heckles Dies,8.2,6569
2,4,The One with Phoebe's Husband,7.8,6325
2,5,The One with Five Steaks and an Eggplant,8.1,6371
2,6,The One with the Baby on the Bus,8.4,6806
2,7,The One Where Ross Finds Out,8.9,7730
2,8,The One with the List,8.3,6448
2,9,The One with Phoebe's Dad,7.8,6126
2,10,The One with Russ,7.8,6440
2,11,The One with the Lesbian Wedding,7.9,6303
2,12,The One After the Superbowl: Part 1,8.5,6595
2,13,The One After the Superbowl: Part 2,8.7,6810
2,14,The One with the Prom Video,9.3,9687
2,15,The One Where Ross and Rachel... You Know,8.7,6824
2,16,The One Where Joey Moves Out,8.5,6165
2,17,The One Where Eddie Moves In,8.1,6027
2,18,The One Where Dr. Ramoray Dies,8.3,6028
2,19,The One Where Eddie Won't Go,8.4,6171
2,20,The One Where Old Yeller Dies,8,5866
2,21,The One with the Bullies,7.9,5931
2,22,The One with the Two Parties,8.9,7347
2,23,The One with the Chicken Pox,7.9,5951
2,24,The One with Barry and Mindy's Wedding,8.1,5983
3,1,The One with the Princess Leia Fantasy,8.3,6189
3,2,The One Where No One's Ready,8.9,8282
3,3,The One with the Jam,7.8,5876
3,4,The One with the Metaphorical Tunnel,7.8,5655
3,5,The One with Frank Jr.,8,5795
3,6,The One with the Flashback,9,7502
3,7,The One with the Race Car Bed,8.1,5729
3,8,The One with the Giant Poking Device,8.2,5743
3,9,The One with the Football,8.9,7848
3,10,The One Where Rachel Quits,8,5790
3,11,The One Where Chandler Can't Remember Which Sister,8.4,5961
3,12,The One with All the Jealousy,8,5622
3,13,The One Where Monica and Richard Are Just Friends,8.1,5667
3,14,The One with Phoebe's Ex-Partner,7.6,5676
3,15,The One Where Ross and Rachel Take a Break,8.4,6088
3,16,The One with the Morning After,9,7390
3,17,The One Without the Ski Trip,8.2,5705
3,18,The One with the Hypnosis Tape,8.2,5767
3,19,The One with the Tiny T-Shirt,8,5546
3,20,The One with the Dollhouse,7.9,5515
3,21,The One with a Chick and a Duck,8.6,5891
3,22,The One with the Screamer,8.1,5599
3,23,The One with Ross's Thing,7.8,5524
3,24,The One with the Ultimate Fighting Champion,8,5742
3,25,The One at the Beach,8.7,6330
4,1,The One with the Jellyfish,8.9,7155
4,2,The One with the Cat,7.9,5636
4,3,The One with the 'Cuffs,8.4,5766
4,4,The One with the Ballroom Dancing,8,5517
4,5,The One with Joey's New Girlfriend,8.2,5591
4,6,The One with the Dirty Girl,8.4,5716
4,7,The One Where Chandler Crosses the Line,8.6,5790
4,8,The One with Chandler in a Box,9,7102
4,9,The One Where They're Going to Party!,7.7,5380
4,10,The One with the Girl from Poughkeepsie,7.9,5398
4,11,The One with Phoebe's Uterus,8.4,5824
4,12,The One with the Embryos,9.4,10471
4,13,The One with Rachel's Crush,8,5359
4,14,The One with Joey's Dirty Day,8.1,5407
4,15,The One with All the Rugby,8.3,5640
4,16,The One with the Fake Party,8,5452
4,17,The One with the Free Porn,8.5,5606
4,18,The One with Rachel's New Dress,8.1,5358
4,19,The One with All the Haste,8.6,5666
4,20,The One with All the Wedding Dresses,8.4,5554
4,21,The One with the Invitation,6.9,5968
4,22,The One with the Worst Best Man Ever,8.3,5410
4,23,The One with Ross's Wedding,8.6,5896
4,24,The One with Ross's Wedding: Part 2,9.1,7406
5,1,The One After Ross Says Rachel,8.8,6289
5,2,The One with All the Kissing,8.9,6417
5,3,The One Hundredth,8.7,5954
5,4,The One Where Phoebe Hates PBS,8.1,5311
5,5,The One with the Kips,8.6,5733
5,6,The One with the Yeti,7.8,5310
5,7,The One Where Ross Moves In,8.1,5394
5,8,The One with All the Thanksgivings,9,7307
5,9,The One with Ross's Sandwich,9,6777
5,10,The One with the Inappropriate Sister,8,5317
5,11,The One with All the Resolutions,9,6701
5,12,The One with Chandler's Work Laugh,8.1,5286
5,13,The One with Joey's Bag,7.9,5284
5,14,The One Where Everybody Finds Out,9.7,14503
5,15,The One with the Girl Who Hits Joey,8.3,5552
5,16,The One with the Cop,8.5,5775
5,17,The One with Rachel's Inadvertent Kiss,8.3,5329
5,18,The One Where Rachel Smokes,7.8,5171
