city,state,metro,county,zhvi,zhvi_yoy_pct,zori,zori_yoy_pct,annual_rent,rent_to_price_pct,price_to_rent,gross_yield_pct,est_cap_rate_pct,tier,pop_2024,pop_growth_pct,county_pop_2024,county_pop_growth_pct,net_mig_rate_per1k,vacancy_rate_pct,rental_vacancy_pct,renter_pct,down_payment,loan_amount,monthly_mortgage,monthly_cash_flow,annual_cash_flow,cash_on_cash_pct,break_even_rent,yield_spread_pct,one_pct_rule,two_pct_rule,investment_score,hidden_gem,zhvi_date,zori_date
West Long Branch,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,939889.0339110986,1.63,44500,NA,534000,4.735,1.8,56.82,36.93,Strong Buy,8604,0.26,647520,0.74,2.8,7.24,3.49,24.63,234972.25847777465,704916.7754333239,4808.775036143097,24116,289392,109.96,7398,49.57,TRUE,TRUE,62,TRUE,2026-02-28,2026-02-28
Cahokia,IL,"St. Louis, MO-IL",Saint Clair County,45635.69715331399,2.39,1377,NA,16524,3.017,2.8,36.21,23.54,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,11408.924288328497,34226.77286498549,233.4869259136395,662,7944,62.17,359,28.96,TRUE,TRUE,70.1,FALSE,2026-02-28,2026-02-28
Westhampton Beach,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,1584363.564664615,5.68,47666.66666666667,NA,572000,3.009,2.8,36.1,23.47,Strong Buy,2238,1.87,1535909,0.9,2.22,11.64,3.67,18.09,396090.8911661538,1188272.6734984613,8106.11432099604,22877,274524,61.88,12471,28.85,TRUE,TRUE,65.2,FALSE,2026-02-28,2026-02-28
Sagaponack,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,7526912.417954368,6.83,193750,NA,2325000,2.574,3.2,30.89,20.08,Strong Buy,744,1.5,1535909,0.9,2.22,11.64,3.67,18.09,1881728.104488592,5645184.313465776,38510.1083519164,87427,1049124,49.78,59246,23.64,TRUE,TRUE,65,FALSE,2026-02-28,2026-02-28
Water Mill,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,4600764.19290333,6.41,117500,NA,1410000,2.554,3.3,30.65,19.92,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,1150191.0482258324,3450573.1446774974,23538.99151897885,52836,634032,49.22,36214,23.4,TRUE,TRUE,63.5,FALSE,2026-02-28,2026-02-28
East Hampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,1999006.346176056,-2.61,44284.1860916861,11.63,531410.2331002331,2.215,3.8,26.58,17.28,Strong Buy,1556,3.73,1535909,0.9,2.22,11.64,3.67,18.09,499751.586544014,1499254.759632042,10227.560347823239,18557,222684,39.78,15735,19.33,TRUE,TRUE,57.2,FALSE,2026-02-28,2026-02-28
Margate City,NJ,"Atlantic City-Hammonton, NJ",Atlantic County,1090233.5493382586,8.12,22833.333333333332,NA,274000,2.094,4,25.13,16.34,Strong Buy,5239,-1.09,279114,1.79,8.62,17.71,4.68,32.16,272558.38733456464,817675.1620036939,5577.9860031002245,9264,111168,36.42,8582,17.88,TRUE,TRUE,63.7,FALSE,2026-02-28,2026-02-28
Homestead,PA,"Pittsburgh, PA",Allegheny County,78544.95922808938,-0.11,1433.3333333333333,NA,17200,1.825,4.6,21.9,14.23,Strong Buy,2852,-1.01,1231814,-1.43,2.72,9.6,6.37,35.07,19636.239807022346,58908.71942106704,401.86131077537357,530,6360,28.92,618,14.65,TRUE,FALSE,53.1,FALSE,2026-02-28,2026-02-28
Castle Point,MO,"St. Louis, MO-IL",Saint Louis County,78152.81218651382,2.2,1420,NA,17040,1.817,4.6,21.8,14.17,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,19538.203046628456,58614.60913988537,399.8549601999456,523,6276,28.68,615,14.55,TRUE,FALSE,69.7,FALSE,2026-02-28,2026-02-28
Glasgow Village,MO,"St. Louis, MO-IL",Saint Louis County,80188.80981637772,-0.17,1450.0462962962963,5.03,17400.555555555555,1.808,4.6,21.7,14.1,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,20047.20245409443,60141.60736228329,410.2717798700239,532,6384,28.43,631,14.45,TRUE,FALSE,65.6,FALSE,2026-02-28,2026-02-28
Bridgehampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,4556239.814277745,6.15,81706.23809523809,21.42,980474.857142857,1.793,4.6,21.52,13.99,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,1139059.9535694362,3417179.8607083084,23311.190456609238,29798,357576,28.03,35863,14.27,TRUE,FALSE,63.3,FALSE,2026-02-28,2026-02-28
Detroit,MI,"Detroit-Warren-Dearborn, MI",Wayne County,74827.8316778491,-2.25,1317.546240773716,3.02,15810.55488928459,1.761,4.7,21.13,13.73,Strong Buy,645705,1.15,1771063,-1.04,3.75,12.9,4.58,35.52,18706.957919462275,56120.87375838682,382.8432889399938,474,5688,27.15,589,13.88,TRUE,FALSE,53.4,FALSE,2026-02-28,2026-02-28
Riverview,MO,"St. Louis, MO-IL",Saint Louis County,72474.97467269155,-2.82,1275,NA,15300,1.759,4.7,21.11,13.72,Strong Buy,2334,-2.51,NA,NA,NA,NA,NA,NA,18118.743668172887,54356.23100451866,370.8053146453749,458,5496,27.08,570,13.86,TRUE,FALSE,53.9,FALSE,2026-02-28,2026-02-28
Montauk,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,1958052.2671958725,3.14,33962.88888888888,NA,407554.6666666666,1.735,4.8,20.81,13.53,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,489513.0667989681,1468539.2003969043,10018.026088434519,12058,144696,26.39,15412,13.56,TRUE,FALSE,60.4,FALSE,2026-02-28,2026-02-28
Jennings,MO,"St. Louis, MO-IL",Saint Louis County,71031.10723269708,-2.27,1224.1666666666667,5.35,14690,1.723,4.8,20.68,13.44,Strong Buy,13024,0.95,NA,NA,NA,NA,NA,NA,17757.77680817427,53273.33042452281,363.41802375205225,432,5184,26.07,559,13.43,TRUE,FALSE,60.9,TRUE,2026-02-28,2026-02-28
Southampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2151863.783275081,7.21,37026.817307692305,9.17,444321.8076923076,1.721,4.8,20.65,13.42,Strong Buy,4693,3.28,1535909,0.9,2.22,11.64,3.67,18.09,537965.9458187702,1613897.8374563106,11009.628231466759,13058,156696,26.01,16938,13.4,TRUE,FALSE,68.5,FALSE,2026-02-28,2026-02-28
Braddock,PA,"Pittsburgh, PA",Allegheny County,56694.83209018515,-0.23,960,NA,11520,1.693,4.9,20.32,13.21,Strong Buy,1669,-3.02,1231814,-1.43,2.72,9.6,6.37,35.07,14173.708022546287,42521.12406763886,290.0690224026962,334,4008,25.25,446,13.07,TRUE,FALSE,49.8,FALSE,2026-02-28,2026-02-28
Sag Harbor,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2176657.242443058,5.75,36635.777777777774,6.38,439629.33333333326,1.683,5,20.2,13.13,Strong Buy,2816,2.33,1535909,0.9,2.22,11.64,3.67,18.09,544164.3106107645,1632492.9318322935,11136.479554553776,12677,152124,24.96,17133,12.95,TRUE,FALSE,66,FALSE,2026-02-28,2026-02-28
