season,episode,title,rating,votes,episode_year
13,5,Out of Network,7.5,662,2022
13,6,Bank Run at Mr. Bank's Bank,7.5,639,2022
13,7,Distraction Action,7.6,654,2022
13,8,"Dough, Ray, and Me",7.8,664,2022
14,1,The Anglerfish Stratagem,7.3,688,2023
14,2,30 for 30,7.4,659,2023
14,3,Plaque Removal,6.8,664,2023
14,4,Chill Barry,7.5,592,2023
14,5,Keys Open Doors,7.5,582,2023
14,6,Face Off,7.7,581,2023
14,7,Mission Out of Control Room,7.5,549,2023
14,8,Breaking Fabian,7.5,560,2023
14,9,Into the Cold,8.4,823,2023
