player_id,player,country,age,fivb_played,fivb_1st,fivb_2nd,fivb_3rd,fivb_4th,fivb_5th,fivb_9th,fivb_other,fivb_money,podium_rate,gold_rate,top5_rate,rating,win_prob,podium_prob
128,Randy Stoklos,USA,65,14,10,0,1,1,0,0,2,150250,0.7857142857142857,0.7142857142857143,0.8571428571428571,77.8,0.2581560540058382,0.85
14741,Anders Mol,Norway,28,81,30,7,11,3,12,9,9,937085,0.5925925925925926,0.37037037037037035,0.7777777777777778,56.2,0.06116433526582406,0.2140751734303842
148,Emanuel Rego,Brazil,52,256,77,37,41,16,32,36,17,2562273,0.60546875,0.30078125,0.79296875,55.1,0.05683946718392551,0.1989381351437393
17928,David Åhman,Sweden,24,56,17,6,4,3,9,6,11,421401,0.48214285714285715,0.30357142857142855,0.6964285714285714,48.8,0.037346191153180525,0.11203857345954157
18278,Jonatan Hellvig,Sweden,24,54,16,6,4,3,9,6,10,402149,0.48148148148148145,0.2962962962962963,0.7037037037037037,48.7,0.037098044619664955,0.11129413385899486
13274,Christian Sorum,Norway,30,97,29,7,11,3,14,11,22,945782,0.4845360824742268,0.29896907216494845,0.6597938144329897,46.9,0.032903013935425815,0.09870904180627744
20306,Elmer Andersson,Sweden,21,21,6,3,1,0,4,1,6,105431,0.47619047619047616,0.2857142857142857,0.6666666666666666,46.8,0.03268439006514136,0.09805317019542407
138,Mike Whitmarsh,USA,55,18,3,6,1,0,1,2,5,158275,0.5555555555555556,0.16666666666666666,0.6111111111111112,45.8,0.030576475207437764,0.10701766322603218
125,Kent Steffes,USA,57,13,3,2,2,0,0,5,1,73525,0.5384615384615384,0.23076923076923078,0.5384615384615384,45.5,0.02997102043272739,0.10489857151454586
525,Ricardo Santos,Brazil,51,238,56,31,23,18,33,34,43,1921183,0.46218487394957986,0.23529411764705882,0.6764705882352942,45.4,0.02977187817493189,0.08931563452479567
7998,Alison Cerutti,Brazil,40,152,28,18,15,9,27,28,27,1264550,0.40131578947368424,0.18421052631578946,0.6381578947368421,40.4,0.021332482886927146,0.06399744866078144
5214,Phil Dalhausser,USA,46,200,38,20,18,12,30,30,52,1800000,0.38,0.19,0.59,38.4,0.01866961985157891,0.05600885955473673
69,Karch Kiraly,USA,65,22,3,3,1,1,5,5,4,83750,0.3181818181818182,0.13636363636363635,0.5909090909090909,35.4,0.01528539192076284,0.04585617576228852
111,Todd Rogers,USA,52,124,24,7,11,9,12,23,38,911100,0.3387096774193548,0.1935483870967742,0.5080645161290323,35.2,0.015082939378058739,0.045248818134176215
18616,Stefan Boermans,Netherlands,31,35,3,2,8,3,7,5,7,220986,0.37142857142857144,0.08571428571428572,0.6571428571428571,33.8,0.013738895931313912,0.041216687793941734
17881,Yorick de Groot,Netherlands,25,35,3,2,8,3,7,5,7,201138,0.37142857142857144,0.08571428571428572,0.6571428571428571,33.8,0.013738895931313912,0.041216687793941734
2134,Jonas Reckermann,Germany,46,104,7,18,11,8,14,17,29,691428,0.34615384615384615,0.0673076923076923,0.5576923076923077,32.4,0.012514620438378256,0.03754386131513477
17592,Nils Ehlers,Germany,32,50,5,5,5,3,10,10,12,285000,0.3,0.1,0.56,31.6,0.01186466034155884,0.029661650853897097
15097,Cherif Younousse,Qatar,30,74,8,7,6,2,18,16,17,388100,0.28378378378378377,0.10810810810810811,0.5540540540540541,31.1,0.01147569050910604,0.0286892262727651
15096,Ahmed Tijan,Qatar,30,74,8,7,6,2,18,16,17,388100,0.28378378378378377,0.10810810810810811,0.5540540540540541,31.1,0.01147569050910604,0.0286892262727651
13393,Ondrej Perusic,Czechia,31,73,9,8,3,2,14,16,21,353546,0.273972602739726,0.1232876712328767,0.4931506849315068,30.6,0.011099472624555911,0.02774868156138978
16538,David Schweiner,Czechia,31,73,9,8,3,2,14,16,21,353546,0.273972602739726,0.1232876712328767,0.4931506849315068,30.6,0.011099472624555911,0.02774868156138978
13767,Clemens Wickler,Germany,30,55,5,5,5,4,10,12,14,290000,0.2727272727272727,0.09090909090909091,0.5272727272727272,29.8,0.010523009731636106,0.026307524329090264
1901,Julius Brink,Germany,43,109,9,11,14,9,12,13,41,671335,0.3119266055045872,0.08256880733944955,0.5045871559633027,29.3,0.010178024437967271,0.030534073313901813
8539,Bruno Oscar Schmidt,Brazil,39,149,17,10,7,11,26,43,35,958775,0.22818791946308725,0.11409395973154363,0.47651006711409394,28.8,0.009844349107501265,0.024610872768753164
17561,Miles Partain,USA,24,29,3,1,2,1,8,9,5,111500,0.20689655172413793,0.10344827586206896,0.5172413793103449,27.8,0.009209457353157204,0.02302364338289301
18352,Andy Benesh,USA,31,29,3,1,2,1,8,9,5,100000,0.20689655172413793,0.10344827586206896,0.5172413793103449,27.8,0.009209457353157204,0.02302364338289301
15323,Arthur Lanci,Brazil,30,63,6,4,5,4,12,15,17,203219,0.23809523809523808,0.09523809523809523,0.49206349206349204,27.8,0.009209457353157204,0.02302364338289301
10745,Viacheslav Krasilnikov,Russia,34,112,12,7,8,5,18,24,38,520000,0.24107142857142858,0.10714285714285714,0.44642857142857145,27.1,0.008789556563226563,0.02197389140806641
31,Mike Dodd,USA,68,18,0,3,2,1,3,3,6,70000,0.2777777777777778,0,0.5,25.7,0.008006317593521304,0.020015793983803258
11854,Evandro Goncalves,Brazil,35,141,11,8,12,8,26,30,46,790900,0.2198581560283688,0.07801418439716312,0.46099290780141844,25.4,0.007847781883242115,0.019619454708105288
1931,Nick Lucena,USA,46,121,9,11,6,6,25,18,46,697500,0.21487603305785125,0.0743801652892562,0.47107438016528924,25.4,0.007847781883242115,0.019619454708105288
14454,George Wanderley,Brazil,29,94,9,5,9,4,8,22,37,324763,0.24468085106382978,0.09574468085106383,0.3723404255319149,24.8,0.007540065954189955,0.018850164885474887
9130,Robert Meeuwsen,Netherlands,38,134,7,10,8,7,26,34,42,609838,0.1865671641791045,0.05223880597014925,0.43283582089552236,23.3,0.006822533809810084,0.01705633452452521
9059,Paolo Nicolai,Italy,37,154,6,13,13,6,29,38,49,705038,0.2077922077922078,0.03896103896103896,0.43506493506493504,23.2,0.006777201526585983,0.016943003816464956
9129,Alexander Brouwer,Netherlands,36,150,7,11,8,9,31,37,47,648800,0.17333333333333334,0.04666666666666667,0.44,22.8,0.006598864546931151,0.016497161367327876
1163,Sean Rosenthal,USA,45,109,10,6,4,3,18,21,47,630300,0.1834862385321101,0.09174311926605505,0.3761467889908257,22.7,0.006555018432725191,0.016387546081812976
14263,Oleg Stoyanovskiy,Russia,29,68,5,4,3,4,10,16,26,280000,0.17647058823529413,0.07352941176470588,0.38235294117647056,22.5,0.006468198274232897,0.016170495685582244
190,Jake Gibb,USA,50,149,7,8,8,8,34,44,40,825688,0.15436241610738255,0.04697986577181208,0.436241610738255,22.2,0.006340119367088131,0.015850298417720326
151,Sinjin Smith,USA,68,105,10,7,3,6,8,15,56,435938,0.19047619047619047,0.09523809523809523,0.3238095238095238,22,0.0062561455119479826,0.015640363779869958
60,Dax Holdren,USA,53,50,4,3,2,2,6,12,21,175000,0.18,0.08,0.34,21.8,0.006173283876931594,0.015433209692328986
9422,Daniele Lupo,Italy,34,127,4,9,10,5,24,36,39,545238,0.18110236220472442,0.031496062992125984,0.4094488188976378,21.6,0.006091519730863388,0.01522879932715847
6874,Janis Smedins,Latvia,38,170,14,7,10,8,17,44,70,695068,0.18235294117647058,0.08235294117647059,0.32941176470588235,21.6,0.006091519730863388,0.01522879932715847
2077,Pablo Herrera,Spain,43,225,7,12,12,8,50,58,78,908814,0.13777777777777778,0.03111111111111111,0.39555555555555555,19.6,0.005331135540875314,0.010662271081750628
13467,Miles Evans,USA,36,80,2,6,2,4,9,19,38,117439,0.125,0.025,0.2875,16.9,0.004452938710289067,0.008905877420578134
1922,Jeff Nygaard,USA,53,36,2,1,1,1,4,10,17,90000,0.1111111111111111,0.05555555555555555,0.25,16.4,0.004306954015051165,0.00861390803010233
90,Stein Metzger,USA,53,54,2,2,3,1,6,14,26,150000,0.12962962962962962,0.037037037037037035,0.25925925925925924,16.1,0.004221670611546356,0.008443341223092713
5327,Casey Patterson,USA,45,85,2,2,3,4,17,24,33,362713,0.08235294117647059,0.023529411764705882,0.32941176470588235,16,0.004193619747574631,0.008387239495149261
