episode_name_number,episode,imdb_rating,season,season_ep_name
S1.E1 ∙ Cartman Gets an Anal Probe,1,7.9,1,S1.E1: Cartman Gets an Anal Probe
S1.E2 ∙ Weight Gain 4000,2,7.5,1,S1.E2: Weight Gain 4000
S1.E3 ∙ Volcano,3,7.6,1,S1.E3: Volcano
S1.E4 ∙ Big Gay Al's Big Gay Boat Ride,4,7.6,1,S1.E4: Big Gay Al's Big Gay Boat Ride
S1.E5 ∙ An Elephant Makes Love to a Pig,5,7.4,1,S1.E5: An Elephant Makes Love to a Pig
S1.E6 ∙ Death,6,8,1,S1.E6: Death
S1.E7 ∙ Pinkeye,7,8.3,1,S1.E7: Pinkeye
S1.E8 ∙ Starvin' Marvin,8,8.1,1,S1.E8: Starvin' Marvin
"S1.E9 ∙ Mr. Hankey, the Christmas Poo",9,8.1,1,"S1.E9: Mr. Hankey, the Christmas Poo"
S1.E10 ∙ Damien,10,7.8,1,S1.E10: Damien
