fips,state_alpha,countyname,areaname,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
01077,NA,Lauderdale County,NA,698,775,1000,1242,1409
01079,NA,Lawrence County,NA,755,776,961,1262,1550
01081,NA,Lee County,NA,847,1077,1181,1494,1699
01083,NA,Limestone County,NA,1030,1136,1310,1690,2109
01085,NA,Lowndes County,NA,860,870,1016,1304,1537
01087,NA,Macon County,NA,720,758,995,1222,1501
01089,NA,Madison County,NA,1030,1136,1310,1690,2109
01091,NA,Marengo County,NA,582,693,783,1018,1187
01093,NA,Marion County,NA,535,591,776,1039,1302
01095,NA,Marshall County,NA,588,591,776,1069,1073
01097,NA,Mobile County,NA,854,919,1083,1414,1445
01099,NA,Monroe County,NA,576,619,776,1079,1254
01101,NA,Montgomery County,NA,860,870,1016,1304,1537
01103,NA,Morgan County,NA,755,776,961,1262,1550
01105,NA,Perry County,NA,596,636,803,963,1198
01107,NA,Pickens County,NA,588,591,776,994,1290
01109,NA,Pike County,NA,677,695,912,1093,1208
01111,NA,Randolph County,NA,536,634,778,980,1126
01113,NA,Russell County,NA,895,939,1088,1445,1703
01115,NA,St. Clair County,NA,1024,1155,1266,1583,1801
01117,NA,Shelby County,NA,1024,1155,1266,1583,1801
01119,NA,Sumter County,NA,619,642,827,1107,1193
01121,NA,Talladega County,NA,561,682,814,1107,1112
01123,NA,Tallapoosa County,NA,637,663,857,1030,1216
01125,NA,Tuscaloosa County,NA,966,972,1169,1490,1548
01127,NA,Walker County,NA,644,724,886,1232,1481
01129,NA,Washington County,NA,729,818,983,1292,1314
01131,NA,Wilcox County,NA,632,656,843,1079,1261
01133,NA,Winston County,NA,576,631,776,1070,1150
02013,NA,Aleutians East Borough,NA,993,1263,1385,1661,2281
02016,NA,Aleutians West Census Area,NA,1571,1670,2191,2652,2901
02020,NA,Anchorage Municipality,NA,1152,1243,1631,2268,2736
02050,NA,Bethel Census Area,NA,1688,1719,1938,2324,2566
02060,NA,Bristol Bay Borough,NA,891,1134,1243,1729,2047
