"","box_office_rank","Title","Lifetime Gross","Year","links","id","imdb_link","imdb_rating"
"18",18,"Incredibles 2",1244639527,2018,"/title/tt3606756/?ref_=bo_cso_table_18","tt3606756","https://www.imdb.com/title/tt3606756",7.6
"19",19,"The Fate of the Furious",1236005118,2017,"/title/tt4630562/?ref_=bo_cso_table_19","tt4630562","https://www.imdb.com/title/tt4630562",6.6
"20",20,"Iron Man 3",1214811252,2013,"/title/tt1300854/?ref_=bo_cso_table_20","tt1300854","https://www.imdb.com/title/tt1300854",7.1
"21",21,"Minions",1159444662,2015,"/title/tt2293640/?ref_=bo_cso_table_21","tt2293640","https://www.imdb.com/title/tt2293640",6.4
"22",22,"Captain America: Civil War",1153337496,2016,"/title/tt3498820/?ref_=bo_cso_table_22","tt3498820","https://www.imdb.com/title/tt3498820",7.8
"23",23,"Aquaman",1148485886,2018,"/title/tt1477834/?ref_=bo_cso_table_23","tt1477834","https://www.imdb.com/title/tt1477834",6.9
"24",24,"The Lord of the Rings: The Return of the King",1146030912,2003,"/title/tt0167260/?ref_=bo_cso_table_24","tt0167260","https://www.imdb.com/title/tt0167260",8.9
"25",25,"Spider-Man: Far from Home",1131927996,2019,"/title/tt6320628/?ref_=bo_cso_table_25","tt6320628","https://www.imdb.com/title/tt6320628",7.5
"26",26,"Captain Marvel",1128462972,2019,"/title/tt4154664/?ref_=bo_cso_table_26","tt4154664","https://www.imdb.com/title/tt4154664",6.8
"27",27,"Transformers: Dark of the Moon",1123794079,2011,"/title/tt1399103/?ref_=bo_cso_table_27","tt1399103","https://www.imdb.com/title/tt1399103",6.2
"28",28,"Skyfall",1108569499,2012,"/title/tt1074638/?ref_=bo_cso_table_28","tt1074638","https://www.imdb.com/title/tt1074638",7.7
"29",29,"Transformers: Age of Extinction",1104054072,2014,"/title/tt2109248/?ref_=bo_cso_table_29","tt2109248","https://www.imdb.com/title/tt2109248",5.6
"30",30,"The Dark Knight Rises",1081142612,2012,"/title/tt1345836/?ref_=bo_cso_table_30","tt1345836","https://www.imdb.com/title/tt1345836",8.4
"31",31,"Star Wars: Episode IX - The Rise of Skywalker",1078232589,2019,"/title/tt2527338/?ref_=bo_cso_table_31","tt2527338","https://www.imdb.com/title/tt2527338",6.5
"32",32,"Joker",1074419384,2019,"/title/tt7286456/?ref_=bo_cso_table_32","tt7286456","https://www.imdb.com/title/tt7286456",8.4
"33",33,"Toy Story 4",1073394593,2019,"/title/tt1979376/?ref_=bo_cso_table_33","tt1979376","https://www.imdb.com/title/tt1979376",7.7
"34",34,"Toy Story 3",1066970811,2010,"/title/tt0435761/?ref_=bo_cso_table_34","tt0435761","https://www.imdb.com/title/tt0435761",8.2
"35",35,"Pirates of the Caribbean: Dead Man's Chest",1066179747,2006,"/title/tt0383574/?ref_=bo_cso_table_35","tt0383574","https://www.imdb.com/title/tt0383574",7.3
"36",36,"The Lion King",1063611805,1994,"/title/tt0110357/?ref_=bo_cso_table_36","tt0110357","https://www.imdb.com/title/tt0110357",8.5
"37",37,"Rogue One: A Star Wars Story",1056057720,2016,"/title/tt3748528/?ref_=bo_cso_table_37","tt3748528","https://www.imdb.com/title/tt3748528",7.8
"38",38,"Aladdin",1050693953,2019,"/title/tt6139732/?ref_=bo_cso_table_38","tt6139732","https://www.imdb.com/title/tt6139732",6.9
"39",39,"Pirates of the Caribbean: On Stranger Tides",1045713802,2011,"/title/tt1298650/?ref_=bo_cso_table_39","tt1298650","https://www.imdb.com/title/tt1298650",6.6
"40",40,"Despicable Me 3",1034800131,2017,"/title/tt3469046/?ref_=bo_cso_table_40","tt3469046","https://www.imdb.com/title/tt3469046",6.3
"41",41,"Jurassic Park",1033928303,1993,"/title/tt0107290/?ref_=bo_cso_table_41","tt0107290","https://www.imdb.com/title/tt0107290",8.1
"42",42,"Finding Dory",1028570942,2016,"/title/tt2277860/?ref_=bo_cso_table_42","tt2277860","https://www.imdb.com/title/tt2277860",7.3
"43",43,"Star Wars: Episode I - The Phantom Menace",1027082707,1999,"/title/tt0120915/?ref_=bo_cso_table_43","tt0120915","https://www.imdb.com/title/tt0120915",6.5
"44",44,"Alice in Wonderland",1025468216,2010,"/title/tt1014759/?ref_=bo_cso_table_44","tt1014759","https://www.imdb.com/title/tt1014759",6.4
"45",45,"Zootopia",1024121104,2016,"/title/tt2948356/?ref_=bo_cso_table_45","tt2948356","https://www.imdb.com/title/tt2948356",8
"46",46,"The Hobbit: An Unexpected Journey",1017003568,2012,"/title/tt0903624/?ref_=bo_cso_table_46","tt0903624","https://www.imdb.com/title/tt0903624",7.8
"47",47,"Harry Potter and the Sorcerer's Stone",1009281898,2001,"/title/tt0241527/?ref_=bo_cso_table_47","tt0241527","https://www.imdb.com/title/tt0241527",7.6
"48",48,"The Dark Knight",1005973645,2008,"/title/tt0468569/?ref_=bo_cso_table_48","tt0468569","https://www.imdb.com/title/tt0468569",9
"49",49,"Harry Potter and the Deathly Hallows: Part 1",977043483,2010,"/title/tt0926084/?ref_=bo_cso_table_49","tt0926084","https://www.imdb.com/title/tt0926084",7.7
"50",50,"Despicable Me 2",970766005,2013,"/title/tt1690953/?ref_=bo_cso_table_50","tt1690953","https://www.imdb.com/title/tt1690953",7.3
"51",51,"The Jungle Book",966554929,2016,"/title/tt3040964/?ref_=bo_cso_table_51","tt3040964","https://www.imdb.com/title/tt3040964",7.4
"52",52,"Jumanji: Welcome to the Jungle",962542945,2017,"/title/tt2283362/?ref_=bo_cso_table_52","tt2283362","https://www.imdb.com/title/tt2283362",6.9
"53",53,"The Hobbit: The Battle of the Five Armies",962182865,2014,"/title/tt2310332/?ref_=bo_cso_table_53","tt2310332","https://www.imdb.com/title/tt2310332",7.4
"54",54,"Pirates of the Caribbean: At World's End",960996492,2007,"/title/tt0449088/?ref_=bo_cso_table_54","tt0449088","https://www.imdb.com/title/tt0449088",7.1
"55",55,"The Hobbit: The Desolation of Smaug",959007513,2013,"/title/tt1170358/?ref_=bo_cso_table_55","tt1170358","https://www.imdb.com/title/tt1170358",7.8
"56",56,"The Lord of the Rings: The Two Towers",947495095,2002,"/title/tt0167261/?ref_=bo_cso_table_56","tt0167261","https://www.imdb.com/title/tt0167261",8.7
"57",57,"Harry Potter and the Order of the Phoenix",942172396,2007,"/title/tt0373889/?ref_=bo_cso_table_57","tt0373889","https://www.imdb.com/title/tt0373889",7.5
"58",58,"Finding Nemo",940352645,2003,"/title/tt0266543/?ref_=bo_cso_table_58","tt0266543","https://www.imdb.com/title/tt0266543",8.1
"59",59,"Harry Potter and the Half-Blood Prince",934454096,2009,"/title/tt0417741/?ref_=bo_cso_table_59","tt0417741","https://www.imdb.com/title/tt0417741",7.6
"60",60,"Shrek 2",928760770,2004,"/title/tt0298148/?ref_=bo_cso_table_60","tt0298148","https://www.imdb.com/title/tt0298148",7.2
"61",61,"Bohemian Rhapsody",911100727,2018,"/title/tt1727824/?ref_=bo_cso_table_61","tt1727824","https://www.imdb.com/title/tt1727824",7.9
"62",62,"The Lord of the Rings: The Fellowship of the Ring",897690072,2001,"/title/tt0120737/?ref_=bo_cso_table_62","tt0120737","https://www.imdb.com/title/tt0120737",8.8
"63",63,"Harry Potter and the Goblet of Fire",896678241,2005,"/title/tt0330373/?ref_=bo_cso_table_63","tt0330373","https://www.imdb.com/title/tt0330373",7.7
"64",64,"Spider-Man 3",894983373,2007,"/title/tt0413300/?ref_=bo_cso_table_64","tt0413300","https://www.imdb.com/title/tt0413300",6.2
"65",65,"Ice Age: Dawn of the Dinosaurs",886686817,2009,"/title/tt1080016/?ref_=bo_cso_table_65","tt1080016","https://www.imdb.com/title/tt1080016",6.9
"66",66,"Spectre",880681519,2015,"/title/tt2379713/?ref_=bo_cso_table_66","tt2379713","https://www.imdb.com/title/tt2379713",6.8
