year,title,id,nominees_or_winner,imdb_url,producers
2021,The Trial of the Chicago 7,tt1070874,nominee,https://www.imdb.com/title/tt1070874/,DreamWorks Pictures|Amblin Partners|Aperture Media Partners|CAA Media Finance|Cross Creek Pictures
2021,Promising Young Woman,tt9620292,nominee,https://www.imdb.com/title/tt9620292/,Focus Features|FilmNation Entertainment|LuckyChap
2021,Minari,tt10633456,nominee,https://www.imdb.com/title/tt10633456/,A24|Plan B Entertainment
2021,Sound of Metal,tt5363618,nominee,https://www.imdb.com/title/tt5363618/,Caviar|Flat 7 Productions|Ward Four
2021,Judas and the Black Messiah,tt9784798,nominee,https://www.imdb.com/title/tt9784798/,BRON Studios|Bron Creative|Macro|Participant|Proximity Media
2021,The Father,tt10272386,nominee,https://www.imdb.com/title/tt10272386/,Les Films du Cru|Film4|Orange Studio|Canal+|Ciné+
2020,Parasite,tt6751668,winner,https://www.imdb.com/title/tt6751668/,Barunson E&A
2020,Once Upon a Time... in Hollywood,tt7131622,nominee,https://www.imdb.com/title/tt7131622/,Columbia Pictures|Bona Film Group|Heyday Films
2020,1917,tt8579674,nominee,https://www.imdb.com/title/tt8579674/,DreamWorks Pictures|Reliance Entertainment|New Republic Pictures|Neal Street Productions|Mogambo
2020,Marriage Story,tt7653254,nominee,https://www.imdb.com/title/tt7653254/,Heyday Films|Netflix
2020,Joker,tt7286456,nominee,https://www.imdb.com/title/tt7286456/,Warner Bros.|Village Roadshow Pictures|BRON Studios|Joint Effort|Creative Wealth Media Finance
2020,Jojo Rabbit,tt2584384,nominee,https://www.imdb.com/title/tt2584384/,Searchlight Pictures|TSG Entertainment|Defender Films|Piki Films|Czech Anglo Productions
2020,Little Women,tt3281548,nominee,https://www.imdb.com/title/tt3281548/,Columbia Pictures|Regency Enterprises|DiNovi Pictures|New Regency Productions|Pascal Pictures
2020,Ford v Ferrari,tt1950186,nominee,https://www.imdb.com/title/tt1950186/,Twentieth Century Fox|Chernin Entertainment|TSG Entertainment|Turnpike Films
2020,The Irishman,tt1302006,nominee,https://www.imdb.com/title/tt1302006/,Tribeca Productions|Sikelia Productions|Winkler Films
2019,Green Book,tt6966692,winner,https://www.imdb.com/title/tt6966692/,Participant|DreamWorks Pictures|Innisfree Pictures|Cinetic Media|Alibaba Pictures Group
2019,BlacKkKlansman,tt7349662,nominee,https://www.imdb.com/title/tt7349662/,Focus Features|Legendary Pictures|Perfect World Pictures|QC Entertainment|Blumhouse Productions
2019,Black Panther,tt1825683,nominee,https://www.imdb.com/title/tt1825683/,Marvel Studios
2019,Bohemian Rhapsody,tt1727824,nominee,https://www.imdb.com/title/tt1727824/,Twentieth Century Fox|Regency Enterprises|GK Films|TSG Entertainment|New Regency Productions
2019,The Favourite,tt5083738,nominee,https://www.imdb.com/title/tt5083738/,Fox Searchlight Pictures|Film4|Waypoint Entertainment|Element Pictures|Scarlet Films
2019,Roma,tt6155172,nominee,https://www.imdb.com/title/tt6155172/,Esperanto Filmoj|Participant|Pimienta Films
2019,A Star Is Born,tt1517451,nominee,https://www.imdb.com/title/tt1517451/,Warner Bros.|Live Nation Productions|Metro-Goldwyn-Mayer|Peters Entertainment|Gerber Pictures
2019,Vice,tt6266538,nominee,https://www.imdb.com/title/tt6266538/,Annapurna Pictures|Gary Sanchez Productions|Plan B Entertainment|The Third Floor
2018,The Shape of Water,tt5580390,winner,https://www.imdb.com/title/tt5580390/,Double Dare You|Fox Searchlight Pictures|TSG Entertainment
2018,Call Me by Your Name,tt5726616,nominee,https://www.imdb.com/title/tt5726616/,Frenesy Film Company|La Cinéfacture|RT Features|Water's End Productions|M.Y.R.A. Entertainment
2018,Darkest Hour,tt4555426,nominee,https://www.imdb.com/title/tt4555426/,Focus Features|Perfect World Pictures|Pin3hot|Working Title Films
2018,Dunkirk,tt5013056,nominee,https://www.imdb.com/title/tt5013056/,Warner Bros.|Syncopy|Dombey Street Productions|Kaap Holland Film|Canal+
2018,Get Out,tt5052448,nominee,https://www.imdb.com/title/tt5052448/,Universal Pictures|Blumhouse Productions|QC Entertainment|Monkeypaw Productions|Dentsu
