season,episode,title,rating,votes,episode_year
7,1,Who Shot Mr. Burns? Part Two,9,5016,1995
7,2,Radioactive Man,8.3,3802,1995
7,3,Home Sweet Home-Dum-Diddly Doodily,8.4,3718,1995
7,4,Bart Sells His Soul,8.8,4728,1995
7,5,Lisa the Vegetarian,8.5,4322,1995
7,6,Treehouse of Horror VI,8.7,4475,1995
7,7,King Size Homer,9,5234,1995
7,8,Mother Simpson,8.7,4195,1995
7,9,Sideshow Bob's Last Gleaming,7.9,3431,1995
7,10,The Simpsons 138th Episode Spectacular!,7.3,3305,1995
7,11,Marge Be Not Proud,8.5,4282,1995
7,12,Team Homer,8.3,3504,1996
7,13,Two Bad Neighbors,8.5,4079,1996
7,14,Scenes from the Class Struggle in Springfield,7.7,3234,1996
7,15,Bart the Fink,7.6,3184,1996
7,16,Lisa the Iconoclast,8.1,3442,1996
7,17,Homer the Smithers,8.8,4457,1996
7,18,The Day the Violence Died,8,3398,1996
7,19,A Fish Called Selma,8.2,3748,1996
7,20,Bart on the Road,8.6,4063,1996
7,21,22 Short Films About Springfield,9,4827,1996
7,22,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',8.5,3656,1996
7,23,Much Apu About Nothing,8.1,3295,1996
7,24,Homerpalooza,7.9,3391,1996
7,25,"Summer of 4'2""",8.5,3726,1996
8,1,Treehouse of Horror VII,8.5,4151,1996
8,2,You Only Move Twice,9.2,7231,1996
8,3,The Homer They Fall,8.1,3579,1996
8,4,"Burns, Baby Burns",7.6,3436,1996
8,5,Bart After Dark,8.3,3666,1996
8,6,A Milhouse Divided,8.1,3437,1996
8,7,Lisa's Date with Density,7.8,3338,1996
8,8,Hurricane Neddy,8.7,4323,1996
8,9,El Viaje Misterioso de Nuestro Jomer,8.6,4417,1997
8,10,The Springfield Files,9.1,5529,1997
8,11,The Twisted World of Marge Simpson,7.7,3254,1997
8,12,Mountain of Madness,8.5,3876,1997
8,13,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,7.6,3479,1997
8,14,The Itchy & Scratchy & Poochie Show,8,3519,1997
8,15,Homer's Phobia,8.8,4798,1997
8,16,Brother from Another Series,8.2,3493,1997
8,17,"My Sister, My Sitter",7.8,3455,1997
8,18,Homer vs. the 18th Amendment,8.9,4189,1997
8,19,Grade School Confidential,8.2,3485,1997
8,20,The Canine Mutiny,7.6,3025,1997
8,21,The Old Man and the Lisa,7.8,3172,1997
8,22,In Marge We Trust,8.1,3294,1997
8,23,Homer's Enemy,9.3,7922,1997
8,24,The Simpsons Spin-Off Showcase,7.1,3169,1997
8,25,The Secret War of Lisa Simpson,7.8,3152,1997
9,1,The City of New York vs. Homer Simpson,9,5621,1997
9,2,The Principal and the Pauper,6.8,3972,1997
9,3,Lisa's Sax,8.1,3099,1997
9,4,Treehouse of Horror VIII,8.2,3476,1997
9,5,The Cartridge Family,8.2,3435,1997
9,6,Bart Star,7.6,2923,1997
9,7,The Two Mrs. Nahasapeemapetilons,7.6,2841,1997
9,8,Lisa the Skeptic,8.1,3108,1997
9,9,Realty Bites,7.6,2864,1997
9,10,Miracle on Evergreen Terrace,7.6,3137,1997
9,11,"All Singing, All Dancing",5,3239,1998
9,12,Bart Carny,7.6,2937,1998
9,13,The Joy of Sect,8.3,3243,1998
9,14,Das Bus,8.2,3172,1998
9,15,The Last Temptation of Krust,7.4,2762,1998
9,16,Dumbbell Indemnity,7.6,2777,1998
9,17,Lisa the Simpson,8,3068,1998
9,18,This Little Wiggy,7.8,2866,1998
9,19,Simpson Tide,8.1,3177,1998
9,20,The Trouble with Trillions,7.8,3011,1998
9,21,Girly Edition,7.8,2802,1998
9,22,Trash of the Titans,8.4,3487,1998
9,23,King of the Hill,8.2,3157,1998
9,24,Lost Our Lisa,7.7,2733,1998
9,25,Natural Born Kissers,8,2890,1998
10,1,Lard of the Dance,7.6,2919,1998
10,2,The Wizard of Evergreen Terrace,8.1,3209,1998
10,3,Bart the Mother,7.6,2825,1998
10,4,Treehouse of Horror IX,8,3297,1998
10,5,When You Dish Upon a Star,7.1,2780,1998
10,6,D'oh-in' in the Wind,7.5,2730,1998
10,7,Lisa Gets an 'A',8.1,2856,1998
10,8,Homer Simpson in: 'Kidney Trouble',7.2,2668,1998
10,9,Mayored to the Mob,8.1,3148,1998
10,10,Viva Ned Flanders,7.8,2819,1999
10,11,Wild Barts Can't Be Broken,7.7,2703,1999
10,12,"Sunday, Cruddy Sunday",7,2714,1999
10,13,Homer to the Max,7.7,2738,1999
10,14,I'm with Cupid,7.2,2515,1999
10,15,Marge Simpson in: 'Screaming Yellow Honkers',7.3,2559,1999
10,16,Make Room for Lisa,7.5,2513,1999
10,17,Maximum Homerdrive,7.7,2656,1999
10,18,Simpsons Bible Stories,7.3,2602,1999
10,19,Mom and Pop Art,7.6,2703,1999
10,20,The Old Man and the 'C' Student,7.2,2404,1999
10,21,Monty Can't Buy Me Love,7,2420,1999
10,22,They Saved Lisa's Brain,7.2,2448,1999
10,23,Thirty Minutes Over Tokyo,8,2908,1999
11,1,Beyond Blunderdome,7.3,2692,1999
11,2,Brother's Little Helper,7.5,2473,1999
11,3,Guess Who's Coming to Criticize Dinner?,7.5,2496,1999
11,4,Treehouse of Horror X,7.8,2929,1999
11,5,E-I-E-I-(Annoyed Grunt),7.9,2722,1999
11,6,"Hello Gutter, Hello Fadder",7.3,2299,1999
11,7,Eight Misbehavin',7,2329,1999
11,8,"Take My Wife, Sleaze",7.1,2363,1999
