"","oscar_winners","oscar_imdb_ratings","oscar_imdb_id","rank","oscar_titles","life_time_gross","movie_year","oscar_year","tconst"
"1","1. CODA (2021)","8","https://www.imdb.com/title/tt10366460/?ref_=adv_li_tt","1.","CODA",NA,2021,2021,"tt10366460"
"2","2. Nomadland (2020)","7.3","https://www.imdb.com/title/tt9770150/?ref_=adv_li_tt","2.","Nomadland",NA,2020,2020,"tt9770150"
"3","3. Parasite (2019)","8.5","https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt","3.","Parasite",NA,2019,2019,"tt6751668"
"4","4. Green Book (2018)","8.2","https://www.imdb.com/title/tt6966692/?ref_=adv_li_tt","4.","Green Book",NA,2018,2018,"tt6966692"
"5","5. The Shape of Water (2017)","7.3","https://www.imdb.com/title/tt5580390/?ref_=adv_li_tt","5.","The Shape of Water",NA,2017,2017,"tt5580390"
"6","6. Moonlight (I) (2016)","7.4","https://www.imdb.com/title/tt4975722/?ref_=adv_li_tt","6.","Moonlight (I)",NA,2016,2016,"tt4975722"
"7","7. Spotlight (I) (2015)","8.1","https://www.imdb.com/title/tt1895587/?ref_=adv_li_tt","7.","Spotlight (I)",NA,2015,2015,"tt1895587"
"8","8. Birdman or (The Unexpected Virtue of Ignorance) (2014)","7.7","https://www.imdb.com/title/tt2562232/?ref_=adv_li_tt","8.","Birdman or (The Unexpected Virtue of Ignorance)",NA,2014,2014,"tt2562232"
"9","9. 12 Years a Slave (2013)","8.1","https://www.imdb.com/title/tt2024544/?ref_=adv_li_tt","9.","12 Years a Slave",NA,2013,2013,"tt2024544"
"10","10. Argo (2012)","7.7","https://www.imdb.com/title/tt1024648/?ref_=adv_li_tt","10.","Argo",NA,2012,2012,"tt1024648"
"11","11. The Artist (I) (2011)","7.9","https://www.imdb.com/title/tt1655442/?ref_=adv_li_tt","11.","The Artist (I)",NA,2011,2011,"tt1655442"
"12","12. The King's Speech (2010)","8","https://www.imdb.com/title/tt1504320/?ref_=adv_li_tt","12.","The King's Speech",NA,2010,2010,"tt1504320"
"13","13. Slumdog Millionaire (2008)","8","https://www.imdb.com/title/tt1010048/?ref_=adv_li_tt","13.","Slumdog Millionaire",NA,2008,2009,"tt1010048"
"14","14. The Hurt Locker (2008)","7.5","https://www.imdb.com/title/tt0887912/?ref_=adv_li_tt","14.","The Hurt Locker",NA,2008,2010,"tt0887912"
"15","15. No Country for Old Men (2007)","8.2","https://www.imdb.com/title/tt0477348/?ref_=adv_li_tt","15.","No Country for Old Men",NA,2007,2007,"tt0477348"
"16","16. The Departed (2006)","8.5","https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt","16.","The Departed",NA,2006,2006,"tt0407887"
"17","17. Million Dollar Baby (2004)","8.1","https://www.imdb.com/title/tt0405159/?ref_=adv_li_tt","17.","Million Dollar Baby",NA,2004,2005,"tt0405159"
"18","18. Crash (I) (2004)","7.8","https://www.imdb.com/title/tt0375679/?ref_=adv_li_tt","18.","Crash (I)",NA,2004,2006,"tt0375679"
"19","19. The Lord of the Rings: The Return of the King (2003)","9","https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt","19.","The Lord of the Rings: The Return of the King",NA,2003,2003,"tt0167260"
"20","20. Chicago (2002)","7.2","https://www.imdb.com/title/tt0299658/?ref_=adv_li_tt","20.","Chicago",NA,2002,2002,"tt0299658"
"21","21. A Beautiful Mind (2001)","8.2","https://www.imdb.com/title/tt0268978/?ref_=adv_li_tt","21.","A Beautiful Mind",NA,2001,2001,"tt0268978"
"22","22. Gladiator (2000)","8.5","https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt","22.","Gladiator",NA,2000,2000,"tt0172495"
"23","23. American Beauty (1999)","8.4","https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt","23.","American Beauty",NA,1999,1999,"tt0169547"
"24","24. Shakespeare in Love (1998)","7.1","https://www.imdb.com/title/tt0138097/?ref_=adv_li_tt","24.","Shakespeare in Love",NA,1998,1998,"tt0138097"
"25","25. Titanic (1997)","7.9","https://www.imdb.com/title/tt0120338/?ref_=adv_li_tt","25.","Titanic",NA,1997,1997,"tt0120338"
"26","26. The English Patient (1996)","7.4","https://www.imdb.com/title/tt0116209/?ref_=adv_li_tt","26.","The English Patient",NA,1996,1996,"tt0116209"
"27","27. Braveheart (1995)","8.4","https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt","27.","Braveheart",NA,1995,1995,"tt0112573"
"28","28. Forrest Gump (1994)","8.8","https://www.imdb.com/title/tt0109830/?ref_=adv_li_tt","28.","Forrest Gump",NA,1994,1994,"tt0109830"
"29","29. Schindler's List (1993)","9","https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt","29.","Schindler's List",NA,1993,1993,"tt0108052"
"30","30. Unforgiven (1992)","8.2","https://www.imdb.com/title/tt0105695/?ref_=adv_li_tt","30.","Unforgiven",NA,1992,1992,"tt0105695"
"31","31. The Silence of the Lambs (1991)","8.6","https://www.imdb.com/title/tt0102926/?ref_=adv_li_tt","31.","The Silence of the Lambs",NA,1991,1991,"tt0102926"
"32","32. Dances with Wolves (1990)","8","https://www.imdb.com/title/tt0099348/?ref_=adv_li_tt","32.","Dances with Wolves",NA,1990,1990,"tt0099348"
"33","33. Driving Miss Daisy (1989)","7.3","https://www.imdb.com/title/tt0097239/?ref_=adv_li_tt","33.","Driving Miss Daisy",NA,1989,1989,"tt0097239"
"34","34. Rain Man (1988)","8","https://www.imdb.com/title/tt0095953/?ref_=adv_li_tt","34.","Rain Man",NA,1988,1988,"tt0095953"
"35","35. The Last Emperor (1987)","7.7","https://www.imdb.com/title/tt0093389/?ref_=adv_li_tt","35.","The Last Emperor",NA,1987,1987,"tt0093389"
"36","36. Platoon (1986)","8.1","https://www.imdb.com/title/tt0091763/?ref_=adv_li_tt","36.","Platoon",NA,1986,1986,"tt0091763"
"37","37. Out of Africa (1985)","7.1","https://www.imdb.com/title/tt0089755/?ref_=adv_li_tt","37.","Out of Africa",NA,1985,1985,"tt0089755"
"38","38. Amadeus (1984)","8.4","https://www.imdb.com/title/tt0086879/?ref_=adv_li_tt","38.","Amadeus",NA,1984,1984,"tt0086879"
"39","39. Terms of Endearment (1983)","7.4","https://www.imdb.com/title/tt0086425/?ref_=adv_li_tt","39.","Terms of Endearment",NA,1983,1983,"tt0086425"
"40","40. Gandhi (1982)","8.1","https://www.imdb.com/title/tt0083987/?ref_=adv_li_tt","40.","Gandhi",NA,1982,1982,"tt0083987"
"41","41. Chariots of Fire (1981)","7.1","https://www.imdb.com/title/tt0082158/?ref_=adv_li_tt","41.","Chariots of Fire",NA,1981,1981,"tt0082158"
"42","42. Ordinary People (1980)","7.7","https://www.imdb.com/title/tt0081283/?ref_=adv_li_tt","42.","Ordinary People",NA,1980,1980,"tt0081283"
"43","43. Kramer vs. Kramer (1979)","7.8","https://www.imdb.com/title/tt0079417/?ref_=adv_li_tt","43.","Kramer vs. Kramer",NA,1979,1979,"tt0079417"
"44","44. The Deer Hunter (1978)","8.1","https://www.imdb.com/title/tt0077416/?ref_=adv_li_tt","44.","The Deer Hunter",NA,1978,1978,"tt0077416"
"45","45. Annie Hall (1977)","8","https://www.imdb.com/title/tt0075686/?ref_=adv_li_tt","45.","Annie Hall",NA,1977,1977,"tt0075686"
"46","46. Rocky (1976)","8.1","https://www.imdb.com/title/tt0075148/?ref_=adv_li_tt","46.","Rocky",NA,1976,1976,"tt0075148"
"47","47. One Flew Over the Cuckoo's Nest (1975)","8.7","https://www.imdb.com/title/tt0073486/?ref_=adv_li_tt","47.","One Flew Over the Cuckoo's Nest",NA,1975,1975,"tt0073486"
"48","48. The Godfather Part II (1974)","9","https://www.imdb.com/title/tt0071562/?ref_=adv_li_tt","48.","The Godfather Part II",NA,1974,1974,"tt0071562"
"49","49. The Sting (1973)","8.3","https://www.imdb.com/title/tt0070735/?ref_=adv_li_tt","49.","The Sting",NA,1973,1973,"tt0070735"
