episode_name_number,episode,imdb_rating,season,season_ep_name
S1.E1 ∙ Pilot,1,8.3,1,S1.E1: Pilot
S1.E2 ∙ Ghosts,2,7.9,1,S1.E2: Ghosts
S1.E3 ∙ Mission Creep,3,8,1,S1.E3: Mission Creep
S1.E4 ∙ Cura Te Ipsum,4,8.4,1,S1.E4: Cura Te Ipsum
S1.E5 ∙ Judgement,5,8.3,1,S1.E5: Judgement
S1.E6 ∙ The Fix,6,8.6,1,S1.E6: The Fix
S1.E7 ∙ Witness,7,8.8,1,S1.E7: Witness
S1.E8 ∙ Foe,8,8.1,1,S1.E8: Foe
S1.E9 ∙ Get Carter,9,8.7,1,S1.E9: Get Carter
S1.E10 ∙ Number Crunch,10,9.1,1,S1.E10: Number Crunch
S1.E11 ∙ Super,11,8.7,1,S1.E11: Super
S1.E12 ∙ Legacy,12,8.2,1,S1.E12: Legacy
S1.E13 ∙ Root Cause,13,8.8,1,S1.E13: Root Cause
S1.E14 ∙ Wolf and Cub,14,8.1,1,S1.E14: Wolf and Cub
S1.E15 ∙ Blue Code,15,8.5,1,S1.E15: Blue Code
S1.E16 ∙ Risk,16,8.3,1,S1.E16: Risk
S1.E17 ∙ Baby Blue,17,8.6,1,S1.E17: Baby Blue
S1.E18 ∙ Identity Crisis,18,8.4,1,S1.E18: Identity Crisis
S1.E19 ∙ Flesh and Blood,19,9,1,S1.E19: Flesh and Blood
S1.E20 ∙ Matsya Nyaya,20,8.8,1,S1.E20: Matsya Nyaya
S1.E21 ∙ Many Happy Returns,21,9.1,1,S1.E21: Many Happy Returns
S1.E22 ∙ No Good Deed,22,9,1,S1.E22: No Good Deed
S1.E23 ∙ Firewall,23,9.6,1,S1.E23: Firewall
S2.E1 ∙ The Contingency,1,9,2,S2.E1: The Contingency
S2.E2 ∙ Bad Code,2,9,2,S2.E2: Bad Code
S2.E3 ∙ Masquerade,3,8.3,2,S2.E3: Masquerade
S2.E4 ∙ Triggerman,4,8.1,2,S2.E4: Triggerman
S2.E5 ∙ Bury the Lede,5,8.7,2,S2.E5: Bury the Lede
S2.E6 ∙ The High Road,6,8.3,2,S2.E6: The High Road
S2.E7 ∙ Critical,7,8.4,2,S2.E7: Critical
S2.E8 ∙ Til Death,8,8.1,2,S2.E8: Til Death
S2.E9 ∙ C.O.D.,9,8.1,2,S2.E9: C.O.D.
S2.E10 ∙ Shadow Box,10,8.8,2,S2.E10: Shadow Box
S2.E11 ∙ 2 Pi R,11,8.9,2,S2.E11: 2 Pi R
S2.E12 ∙ Prisoner's Dilemma,12,9.4,2,S2.E12: Prisoner's Dilemma
S2.E13 ∙ Dead Reckoning,13,9.2,2,S2.E13: Dead Reckoning
S2.E14 ∙ One Percent,14,8.3,2,S2.E14: One Percent
S2.E15 ∙ Booked Solid,15,8.5,2,S2.E15: Booked Solid
S2.E16 ∙ Relevance,16,9.3,2,S2.E16: Relevance
S2.E17 ∙ Proteus,17,8.4,2,S2.E17: Proteus
S2.E18 ∙ All In,18,8.2,2,S2.E18: All In
S2.E19 ∙ Trojan Horse,19,8.6,2,S2.E19: Trojan Horse
S2.E20 ∙ In Extremis,20,8.8,2,S2.E20: In Extremis
S2.E21 ∙ Zero Day,21,9.4,2,S2.E21: Zero Day
S2.E22 ∙ God Mode,22,9.5,2,S2.E22: God Mode
S3.E1 ∙ Liberty,1,8.3,3,S3.E1: Liberty
S3.E2 ∙ Nothing to Hide,2,8.3,3,S3.E2: Nothing to Hide
S3.E3 ∙ Lady Killer,3,8.6,3,S3.E3: Lady Killer
S3.E4 ∙ Reasonable Doubt,4,8,3,S3.E4: Reasonable Doubt
S3.E5 ∙ Razgovor,5,9.1,3,S3.E5: Razgovor
S3.E6 ∙ Mors Praematura,6,9,3,S3.E6: Mors Praematura
S3.E7 ∙ The Perfect Mark,7,8.6,3,S3.E7: The Perfect Mark
S3.E8 ∙ Endgame,8,9.4,3,S3.E8: Endgame
S3.E9 ∙ The Crossing,9,9.7,3,S3.E9: The Crossing
S3.E10 ∙ The Devil's Share,10,9.7,3,S3.E10: The Devil's Share
S3.E11 ∙ Lethe,11,9.1,3,S3.E11: Lethe
S3.E12 ∙ Aletheia,12,9.1,3,S3.E12: Aletheia
S3.E13 ∙ 4C,13,8.9,3,S3.E13: 4C
S3.E14 ∙ Provenance,14,8.1,3,S3.E14: Provenance
S3.E15 ∙ Last Call,15,8.5,3,S3.E15: Last Call
S3.E16 ∙ RAM,16,9.3,3,S3.E16: RAM
S3.E17 ∙ Root Path,17,9.1,3,S3.E17: Root Path
S3.E18 ∙ Allegiance,18,8.2,3,S3.E18: Allegiance
S3.E19 ∙ Most Likely to...,19,8.6,3,S3.E19: Most Likely to...
S3.E20 ∙ Death Benefit,20,9.1,3,S3.E20: Death Benefit
S3.E21 ∙ Beta,21,9.2,3,S3.E21: Beta
S3.E22 ∙ A House Divided,22,9.1,3,S3.E22: A House Divided
S3.E23 ∙ Deus Ex Machina,23,9.7,3,S3.E23: Deus Ex Machina
S4.E1 ∙ Panopticon,1,8.9,4,S4.E1: Panopticon
S4.E2 ∙ Nautilus,2,8.9,4,S4.E2: Nautilus
S4.E3 ∙ Wingman,3,8.4,4,S4.E3: Wingman
S4.E4 ∙ Brotherhood,4,8.3,4,S4.E4: Brotherhood
S4.E5 ∙ Prophets,5,9,4,S4.E5: Prophets
S4.E6 ∙ Pretenders,6,8.6,4,S4.E6: Pretenders
S4.E7 ∙ Honor Among Thieves,7,8.6,4,S4.E7: Honor Among Thieves
S4.E8 ∙ Point of Origin,8,8.7,4,S4.E8: Point of Origin
S4.E9 ∙ The Devil You Know,9,9.4,4,S4.E9: The Devil You Know
S4.E10 ∙ The Cold War,10,9.1,4,S4.E10: The Cold War
S4.E11 ∙ If-Then-Else,11,9.8,4,S4.E11: If-Then-Else
S4.E12 ∙ Control-Alt-Delete,12,9.2,4,S4.E12: Control-Alt-Delete
S4.E13 ∙ M.I.A.,13,8.8,4,S4.E13: M.I.A.
S4.E14 ∙ Guilty,14,8.4,4,S4.E14: Guilty
S4.E15 ∙ Q & A,15,8.7,4,S4.E15: Q & A
S4.E16 ∙ Blunt,16,7.9,4,S4.E16: Blunt
S4.E17 ∙ Karma,17,8.2,4,S4.E17: Karma
S4.E18 ∙ Skip,18,8.7,4,S4.E18: Skip
S4.E19 ∙ Search and Destroy,19,8.8,4,S4.E19: Search and Destroy
S4.E20 ∙ Terra Incognita,20,8.8,4,S4.E20: Terra Incognita
S4.E21 ∙ Asylum,21,9.5,4,S4.E21: Asylum
S4.E22 ∙ YHWH,22,9.7,4,S4.E22: YHWH
S5.E1 ∙ B.S.O.D.,1,9.2,5,S5.E1: B.S.O.D.
S5.E2 ∙ SNAFU,2,9.1,5,S5.E2: SNAFU
S5.E3 ∙ Truth Be Told,3,8.6,5,S5.E3: Truth Be Told
"S5.E4 ∙ 6,741",4,9.3,5,"S5.E4: 6,741"
S5.E5 ∙ ShotSeeker,5,8.8,5,S5.E5: ShotSeeker
S5.E6 ∙ A More Perfect Union,6,8.3,5,S5.E6: A More Perfect Union
S5.E7 ∙ QSO,7,8.9,5,S5.E7: QSO
S5.E8 ∙ Reassortment,8,8.8,5,S5.E8: Reassortment
S5.E9 ∙ Sotto Voce,9,9.2,5,S5.E9: Sotto Voce
S5.E10 ∙ The Day the World Went Away,10,9.7,5,S5.E10: The Day the World Went Away
S5.E11 ∙ Synecdoche,11,9.2,5,S5.E11: Synecdoche
S5.E12 ∙ .exe,12,9.5,5,S5.E12: .exe
S5.E13 ∙ Return 0,13,9.8,5,S5.E13: Return 0
