season,episode,title,rating,votes,episode_year
1,1,1:23:45,9.4,66447,2019
1,2,Please Remain Calm,9.6,61382,2019
1,3,"Open Wide, O Earth",9.5,56641,2019
1,4,The Happiness of All Mankind,9.3,53643,2019
1,5,Vichnaya Pamyat,9.8,73912,2019
