year,title,id,nominees_or_winner,imdb_url,producers
2025,Anora,tt28607951,winner,https://www.imdb.com/title/tt28607951/,NA
2025,Wicked,tt1262426,nominee,https://www.imdb.com/title/tt1262426/,NA
2025,The Substance,tt17526714,nominee,https://www.imdb.com/title/tt17526714/,NA
2025,Conclave,tt20215234,nominee,https://www.imdb.com/title/tt20215234/,NA
2025,The Brutalist,tt8999762,nominee,https://www.imdb.com/title/tt8999762/,NA
2025,Dune: Part Two,tt15239678,nominee,https://www.imdb.com/title/tt15239678/,NA
2025,Emilia Pérez,tt20221436,nominee,https://www.imdb.com/title/tt20221436/,NA
2025,Nickel Boys,tt23055660,nominee,https://www.imdb.com/title/tt23055660/,NA
2025,A Complete Unknown,tt11563598,nominee,https://www.imdb.com/title/tt11563598/,NA
2025,I'm Still Here,tt14961016,nominee,https://www.imdb.com/title/tt14961016/,NA
2024,Oppenheimer,tt15398776,winner,https://www.imdb.com/title/tt15398776/,NA
2024,Barbie,tt1517268,nominee,https://www.imdb.com/title/tt1517268/,NA
2024,Killers of the Flower Moon,tt5537002,nominee,https://www.imdb.com/title/tt5537002/,NA
2024,Poor Things,tt14230458,nominee,https://www.imdb.com/title/tt14230458/,NA
2024,The Holdovers,tt14849194,nominee,https://www.imdb.com/title/tt14849194/,NA
2024,Anatomy of a Fall,tt17009710,nominee,https://www.imdb.com/title/tt17009710/,NA
2024,Past Lives,tt13238346,nominee,https://www.imdb.com/title/tt13238346/,NA
2024,Maestro,tt5535276,nominee,https://www.imdb.com/title/tt5535276/,NA
2024,The Zone of Interest,tt7160372,nominee,https://www.imdb.com/title/tt7160372/,NA
2024,American Fiction,tt23561236,nominee,https://www.imdb.com/title/tt23561236/,NA
2023,Everything Everywhere All at Once,tt6710474,winner,https://www.imdb.com/title/tt6710474/,NA
2023,Elvis,tt3704428,nominee,https://www.imdb.com/title/tt3704428/,NA
2023,Top Gun: Maverick,tt1745960,nominee,https://www.imdb.com/title/tt1745960/,NA
2023,The Banshees of Inisherin,tt11813216,nominee,https://www.imdb.com/title/tt11813216/,NA
2023,The Fabelmans,tt14208870,nominee,https://www.imdb.com/title/tt14208870/,NA
2023,Tár,tt14444726,nominee,https://www.imdb.com/title/tt14444726/,NA
2023,Avatar: The Way of Water,tt1630029,nominee,https://www.imdb.com/title/tt1630029/,NA
2023,Women Talking,tt13669038,nominee,https://www.imdb.com/title/tt13669038/,NA
2023,Triangle of Sadness,tt7322224,nominee,https://www.imdb.com/title/tt7322224/,NA
2023,All Quiet on the Western Front,tt1016150,nominee,https://www.imdb.com/title/tt1016150/,NA
2022,CODA,tt10366460,winner,https://www.imdb.com/title/tt10366460/,NA
2022,Belfast,tt12789558,nominee,https://www.imdb.com/title/tt12789558/,NA
2022,West Side Story,tt3581652,nominee,https://www.imdb.com/title/tt3581652/,NA
2022,Licorice Pizza,tt11271038,nominee,https://www.imdb.com/title/tt11271038/,NA
2022,Dune: Part One,tt1160419,nominee,https://www.imdb.com/title/tt1160419/,NA
2022,The Power of the Dog,tt10293406,nominee,https://www.imdb.com/title/tt10293406/,NA
2022,King Richard,tt9620288,nominee,https://www.imdb.com/title/tt9620288/,NA
2022,Drive My Car,tt14039582,nominee,https://www.imdb.com/title/tt14039582/,NA
2022,Don't Look Up,tt11286314,nominee,https://www.imdb.com/title/tt11286314/,NA
2022,Nightmare Alley,tt7740496,nominee,https://www.imdb.com/title/tt7740496/,NA
2021,Nomadland,tt9770150,winner,https://www.imdb.com/title/tt9770150/,NA
2021,Mank,tt10618286,nominee,https://www.imdb.com/title/tt10618286/,NA
2021,The Trial of the Chicago 7,tt1070874,nominee,https://www.imdb.com/title/tt1070874/,NA
2021,Promising Young Woman,tt9620292,nominee,https://www.imdb.com/title/tt9620292/,NA
2021,Minari,tt10633456,nominee,https://www.imdb.com/title/tt10633456/,NA
2021,Sound of Metal,tt5363618,nominee,https://www.imdb.com/title/tt5363618/,NA
2021,Judas and the Black Messiah,tt9784798,nominee,https://www.imdb.com/title/tt9784798/,NA
2021,The Father,tt10272386,nominee,https://www.imdb.com/title/tt10272386/,NA
2020,Parasite,tt6751668,winner,https://www.imdb.com/title/tt6751668/,NA
2020,Once Upon a Time... in Hollywood,tt7131622,nominee,https://www.imdb.com/title/tt7131622/,NA
2020,1917,tt8579674,nominee,https://www.imdb.com/title/tt8579674/,NA
2020,Marriage Story,tt7653254,nominee,https://www.imdb.com/title/tt7653254/,NA
2020,Joker,tt7286456,nominee,https://www.imdb.com/title/tt7286456/,NA
2020,Jojo Rabbit,tt2584384,nominee,https://www.imdb.com/title/tt2584384/,NA
2020,Little Women,tt3281548,nominee,https://www.imdb.com/title/tt3281548/,NA
2020,Ford v Ferrari,tt1950186,nominee,https://www.imdb.com/title/tt1950186/,NA
2020,The Irishman,tt1302006,nominee,https://www.imdb.com/title/tt1302006/,NA
2019,Green Book,tt6966692,winner,https://www.imdb.com/title/tt6966692/,NA
2019,BlacKkKlansman,tt7349662,nominee,https://www.imdb.com/title/tt7349662/,NA
2019,Black Panther,tt1825683,nominee,https://www.imdb.com/title/tt1825683/,NA
2019,Bohemian Rhapsody,tt1727824,nominee,https://www.imdb.com/title/tt1727824/,NA
2019,The Favourite,tt5083738,nominee,https://www.imdb.com/title/tt5083738/,NA
2019,Roma,tt6155172,nominee,https://www.imdb.com/title/tt6155172/,NA
