"","year","title","id","nominees_or_winner","imdb_url","producers"
"1","2022","CODA","tt10366460","winner","https://www.imdb.com/title/tt10366460","Apple Original Films|Vendôme Pictures|Pathé Films|Picture Perfect Federation"
"2","2022","Belfast","tt12789558","nominee","https://www.imdb.com/title/tt12789558","TKBC|Northern Ireland Screen"
"3","2022","Don't Look Up","tt11286314","nominee","https://www.imdb.com/title/tt11286314","Hyperobject Industries|Province of British Columbia Production Services Tax Credit|Bluegrass Films"
"4","2022","Drive My Car","tt14039582","nominee","https://www.imdb.com/title/tt14039582","Bitters End|Bungeishunju|C&I Entertainment|Culture Entertainment|Drive My Car Production Committee|Japan Arts Council|Japanese Agency for Cultural Affairs|L'espace Vision|Nekojarashi|Nippon Shuppan Hanbai K.K.|Quaras|The Asahi Shimbun Company"
"5","2022","Dune","tt1160419","nominee","https://www.imdb.com/title/tt1160419","Warner Bros.|Legendary Entertainment|Villeneuve Films"
"6","2022","King Richard","tt9620288","nominee","https://www.imdb.com/title/tt9620288","Warner Bros.|Star Thrower Entertainment|Westbrook Studios|Keepin' It Reel"
"7","2022","Licorice Pizza","tt11271038","nominee","https://www.imdb.com/title/tt11271038","Metro-Goldwyn-Mayer|Focus Features|Bron Creative|Ghoulardi Film Company"
"8","2022","Nightmare Alley","tt7740496","nominee","https://www.imdb.com/title/tt7740496","Fox Searchlight Pictures|Searchlight Pictures|Double Dare You|Ontario Creates|TSG Entertainment"
"9","2022","The Power of the Dog","tt10293406","nominee","https://www.imdb.com/title/tt10293406","New Zealand Film Commission|Cross City Films|BBC Films|See-Saw Films|Bad Girl Creek|Max Films International|Brightstar"
"10","2022","West Side Story","tt3581652","nominee","https://www.imdb.com/title/tt3581652","20th Century Studios|Amblin Entertainment|Amblin Partners|TSG Entertainment"
"11","2021","Nomadland","tt9770150","winner","https://www.imdb.com/title/tt9770150","Cor Cordium Productions|Hear/Say Productions|Highwayman Films"
"12","2021","Judas and the Black Messiah","tt9784798","nominee","https://www.imdb.com/title/tt9784798","BRON Studios|Bron Creative|MACRO|Participant|Proximity Media"
"13","2021","Mank","tt10618286","nominee","https://www.imdb.com/title/tt10618286","Blue Light|Flying Studio|Netflix Studios|Netflix|Panic Pictures"
"14","2021","Minari","tt10633456","nominee","https://www.imdb.com/title/tt10633456","Plan B Entertainment"
"15","2021","Promising Young Woman","tt9620292","nominee","https://www.imdb.com/title/tt9620292","FilmNation Entertainment|Focus Features|LuckyChap Entertainment"
"16","2021","Sound of Metal","tt5363618","nominee","https://www.imdb.com/title/tt5363618","Caviar|Flat 7 Productions|Ward Four"
