imdb_id,season,episode,title,rating,votes,release_year
tt5626028,1,1,Izuku Midoriya: Origin,7.6,3814,2018
tt5626028,1,2,What It Takes to Be a Hero,8.2,3695,2018
tt5626028,1,3,Roaring Muscles,7.7,2970,2018
tt5626028,1,4,Start Line,8.3,3290,2018
tt5626028,1,5,What I Can Do for Now,7.8,2789,2018
tt5626028,1,6,"Rage, You Damn Nerd",7.7,2691,2018
tt5626028,1,7,Deku vs. Kacchan,8.6,3325,2018
tt5626028,1,8,Bakugo's Start Line,7.5,2626,2018
tt5626028,1,9,"Yeah, Just Do Your Best, Iida!",7.3,2548,2018
tt5626028,1,10,Encounter with the Unknown,8,2645,2018
tt5626028,1,11,Game Over,8.6,2959,2018
tt5626028,1,12,All Might,9.2,4341,2018
tt5626028,1,13,Upon Each of Their Hearts,8.5,2957,2018
tt5626028,2,0,Hero Notebook,6,1601,2017
tt5626028,2,1,"That's the Idea, Ochaco",7.1,2339,2018
tt5626028,2,2,Roaring Sports Festival,7.5,2263,2018
tt5626028,2,3,In Their Own Quirky Ways,8.2,2576,2018
tt5626028,2,4,"Strategy, Strategy, Strategy",8,2337,2018
tt5626028,2,5,Cavalry Battle Finale,8.5,2748,2018
tt5626028,2,6,The Boy Born with Everything,7.6,2264,2018
tt5626028,2,7,Victory or Defeat,8,2333,2018
tt5626028,2,8,"Battle On, Challengers!",7.6,2195,2018
tt5626028,2,9,Bakugo vs. Uraraka,8.6,2864,2018
tt5626028,2,10,Shoto Todoroki: Origin,9.6,6569,2018
tt5626028,2,11,"Fight On, Iida",8,2249,2018
tt5626028,2,12,Todoroki vs. Bakugo,8.6,2738,2018
tt5626028,2,13,Time to Pick Some Names,7.4,2171,2018
tt5626028,2,14,Bizarre! Gran Torino Appears,7.6,2179,2018
tt5626028,2,15,Midoriya and Shigaraki,7.9,2208,2018
tt5626028,2,16,Hero Killer: Stain vs U.A. Students,9.1,3343,2018
tt5626028,2,17,Climax,9.2,3476,2018
tt5626028,2,18,The Aftermath of Hero Killer: Stain,7.6,2134,2019
tt5626028,2,19,Everyone's Internships,6.6,2134,2019
tt5626028,2,20,Listen Up!! A Tale from the Past,7.9,2172,2019
tt5626028,2,21,Gear Up for Final Exams,7.4,2071,2019
