imdb_id,season,episode,title,rating,votes,release_year
tt5626028,2,22,Yaoyorozu: Rising,8,2205,2019
tt5626028,2,23,Stripping the Varnish,7.5,2073,2019
tt5626028,2,24,Katsuki Bakugo: Origin,8.9,3028,2019
tt5626028,2,25,Encounter,8.1,2288,2019
tt5626028,3,1,Game Start,6.5,2179,2019
tt5626028,3,2,"Wild, Wild Pussycats",7.3,2151,2019
tt5626028,3,3,Kota,7.6,2185,2019
tt5626028,3,4,My Hero,9.5,5772,2019
tt5626028,3,5,"Drive It Home, Iron Fist!!!",8.6,2557,2019
tt5626028,3,6,Roaring Upheaval,8.5,2514,2019
tt5626028,3,7,What a Twist!,8.2,2300,2019
tt5626028,3,8,From Iida to Midoriya,7.8,2136,2019
tt5626028,3,9,All For One,8.9,3230,2019
tt5626028,3,10,Symbol of Peace,9.4,4342,2019
tt5626028,3,11,One For All,9.8,13825,2019
tt5626028,3,12,"End of the Beginning, Beginning of the End",8.2,2455,2019
tt5626028,3,13,Moving Into Dorms,7.2,2054,2019
tt5626028,3,14,Create Those Ultimate Moves,7.5,1990,2019
tt5626028,3,15,The Test,7.5,1966,2019
tt5626028,3,16,Shiketsu High Lurking,7.6,1969,2019
tt5626028,3,17,Class 1-A,7.7,1969,2019
tt5626028,3,18,RUSH!,8,2025,2019
tt5626028,3,19,Rescue Exercises,7.3,1912,2019
tt5626028,3,20,Special Episode - Save the World with Love!,6.3,1763,2019
tt5626028,3,21,What's the Big Idea?,8.2,2214,2019
tt5626028,3,22,A Talk About Your Quirk,8,2066,2019
tt5626028,3,23,"Deku vs. Kacchan, Part 2",9.3,4124,2019
tt5626028,3,24,A Season for Encounters,7.5,1926,2019
tt5626028,3,25,Unrivaled,8,2155,2019
tt5626028,4,1,The Scoop on U.A. Class 1-A,7,2046,2019
tt5626028,4,2,Overhaul,7.8,2115,2019
tt5626028,4,3,Boy Meets...,7.6,2000,2019
tt5626028,4,4,Fighting Fate,8.3,2351,2019
tt5626028,4,5,"Let's Go, Gutsy Red Riot",8.5,2483,2019
tt5626028,4,6,An Unpleasant Talk,7.5,1987,2019
tt5626028,4,7,Go!!,7.7,1962,2020
tt5626028,4,8,Suneater of the Big Three,8.3,2439,2020
tt5626028,4,9,Red Riot,9,3288,2020
tt5626028,4,10,Temp Squad,7.9,2028,2020
tt5626028,4,11,Lemillion,9.5,5520,2020
tt5626028,4,12,Unforeseen Hope,9.3,3543,2020
tt5626028,4,13,Infinite 100%,9.7,7699,2020
tt5626028,4,14,Bright Future,9.1,3116,2020
tt5626028,4,15,Smoldering Flames,7.3,1863,2020
tt5626028,4,16,Win Those Kids' Hearts,6.6,1909,2020
tt5626028,4,17,Relief for License Trainees,7,1889,2020
tt5626028,4,18,School Festival,6.7,1854,2020
tt5626028,4,19,Prepping for the School Festival Is the Funnest Part,6.8,1824,2020
tt5626028,4,20,Golden Tips Imperial,6.4,1829,2020
tt5626028,4,21,Deku vs. Gentle Criminal,7.3,1926,2020
tt5626028,4,22,School Festival Start!,8.3,2413,2020
tt5626028,4,23,Let It Flow! School Festival!,8.4,2694,2020
tt5626028,4,24,Japanese Hero Billboard Chart,7.5,1945,2020
tt5626028,4,25,His Start,9.7,8216,2020
tt5626028,5,1,All Hands on Deck! Class 1-A,6.5,2312,2021
tt5626028,5,2,Vestiges,8,2264,2021
tt5626028,5,3,Clash! Class A vs. Class B!,7.1,1916,2021
tt5626028,5,4,"Make It Happen, Shinso!",7.6,1938,2021
tt5626028,5,5,Operation New Improv Moves,7.3,1874,2021
tt5626028,5,6,Foresight,6.9,1853,2021
tt5626028,5,7,Match 3,7.1,1815,2021
tt5626028,5,8,Match 3 Conclusion,8.2,2306,2021
tt5626028,5,9,Early Bird!,8.6,2500,2021
tt5626028,5,10,That Which Is Inherited,8.8,2696,2021
tt5626028,5,11,Our Brawl,7.9,1915,2021
tt5626028,5,12,The New Power and All For One,7.4,1812,2021
tt5626028,5,13,Have a Merry Christmas!,6.8,1798,2021
tt5626028,5,14,Off to Endeavor's Agency!,7.5,1768,2021
tt5626028,5,15,One Thing at a Time,7.5,1741,2021
tt5626028,5,16,"Long Time No See, Selkie",5.5,1838,2021
tt5626028,5,17,The Hellish Todoroki Family,7.3,1813,2021
tt5626028,5,18,The Unforgiven,8.3,2152,2021
tt5626028,5,19,More of a Hero Than Anyone,8.6,2325,2021
tt5626028,5,20,My Villain Academia,7.7,1803,2021
tt5626028,5,21,Revival Party,7.9,1963,2021
tt5626028,5,22,Sad Man's Parade,8.4,2279,2021
tt5626028,5,23,Tenko Shimura: Origin,9.5,4527,2021
tt5626028,5,24,Tomura Shigaraki: Origin,9.1,2958,2021
tt5626028,5,25,"The High, Deep Blue Sky",7.5,1750,2021
tt5626028,6,1,A Quiet Beginning,8,2548,2022
tt5626028,6,2,"Mirko, the No. 5 Hero",8.6,2684,2022
tt5626028,6,3,One's Justice,9.3,3244,2022
tt5626028,6,4,Inheritance,8.8,2570,2022
tt5626028,6,5,The Thrill of Destruction,9.2,3004,2022
tt5626028,6,6,"Encounter, Part 2",9,2722,2022
tt5626028,6,7,Disaster Walker,8.8,2432,2022
tt5626028,6,8,League of Villains vs. U.A. Students,9.3,2871,2022
tt5626028,6,9,Katsuki Bakugo: Rising,9.5,3832,2022
tt5626028,6,10,The Ones Within Us,8.4,2367,2022
tt5626028,6,11,Dabi's Dance,9.5,3743,2022
tt5626028,6,12,Threads of Hope,8.8,2389,2022
tt5626028,6,13,Final Performance,8.3,2155,2022
tt5626028,6,14,Hellish Hell,6.9,2164,2023
tt5626028,6,15,Tartarus,8.2,2126,2023
tt5626028,6,16,"The Hellish Todoroki Family, Part 2",8.1,2096,2023
tt5626028,6,17,The Wrong Way to Put Out a Fire,9,2633,2023
tt5626028,6,18,Izuku Midoriya and Tomura Shigaraki,8.6,2194,2023
tt5626028,6,19,Full Power!!,8.6,2350,2023
tt5626028,6,20,Hired Gun,8.2,2102,2023
tt5626028,6,21,The Lovely Lady Nagant,9.2,2944,2023
tt5626028,6,22,Friend,8.6,2298,2023
tt5626028,6,23,Deku vs. Class A,9.4,3687,2023
tt5626028,6,24,A Young Woman's Declaration,8.7,2516,2023
tt5626028,6,25,No Man Is an Island,8,2005,2023
tt5626028,7,1,In the Nick of Time! A Big-Time Maverick from the West!,8.5,2713,2024
tt5626028,7,2,Specter,9.1,3145,2024
tt5626028,7,3,Villain,8,2380,2024
tt5626028,7,4,The Story of How We All Became Heroes,7.1,2170,2024
tt5626028,7,5,Let You Down,7.8,2174,2024
tt5626028,7,6,Division,8.7,2480,2024
tt5626028,7,7,Inflation,7.8,2186,2024
tt5626028,7,8,Two Flashfires,9.2,3304,2024
tt5626028,7,9,Extras,8.4,2278,2024
tt5626028,7,10,"Wounded Hero, Burning Bright and True!!",9.2,3066,2024
tt5626028,7,11,Light Fades to Rain,9.7,5383,2024
tt5626028,7,12,"Those Who Defend, Those Who Violate",9,2801,2024
tt5626028,7,13,"A Chain of Events, Across the Ages",9.4,3791,2024
tt5626028,7,14,Together with Shoji,8.1,2290,2024
tt5626028,7,15,Butterfly Effect,8.1,2078,2024
tt5626028,7,16,The Chain Thus Far,9,2840,2024
tt5626028,7,17,Hopes,8.6,2243,2024
tt5626028,7,18,It's a Small World,8.8,2352,2024
tt5626028,7,19,I Am Here,9.7,5647,2024
tt5626028,7,20,A Girl's Ego,8.7,3302,2024
tt5626028,7,21,Battle Without a Quirk,9.4,3554,2024
tt5626028,8,1,Toshinori Yagi: Rising/Origin,9.1,11633,2025
tt5626028,8,2,"The End of an Era, and the Beginning",9.6,13259,2025
tt5626028,8,3,The Final Boss!!,9.8,17545,2025
tt5626028,8,4,Quirk: Explosion!!,9.7,13828,2025
tt5626028,8,5,History's Greatest Villain,9.1,11325,2025
tt5626028,8,6,"Wrench It Open, Izuku Midoriya!!",9.3,11064,2025
tt5626028,8,7,From Aizawa,9.6,11761,2025
tt5626028,8,8,Izuku Midoriya Rising,9.8,26747,2025
tt5626028,8,9,"Epilogue, The Hellish Todoroki Family: Final",9.3,10563,2025
tt5626028,8,10,The Girl Who Loves Smiles,9.2,6810,2025
tt5626028,8,11,My Hero Academia,9.6,6425,2025
