season,episode,title,rating,votes,episode_year
1,1,The One Where Monica Gets a Roommate,8.1,12068,1994
1,2,The One with the Sonogram at the End,7.8,9405,1994
1,3,The One with the Thumb,8,8849,1994
1,4,The One with George Stephanopoulos,7.9,8572,1994
1,5,The One with the East German Laundry Detergent,8.3,8575,1994
1,6,The One with the Butt,7.9,8126,1994
1,7,The One with the Blackout,8.9,10058,1994
1,8,The One Where Nana Dies Twice,7.9,7961,1994
1,9,The One Where Underdog Gets Away,8.1,7712,1994
1,10,The One with the Monkey,7.9,7710,1994
1,11,The One with Mrs. Bing,8,7595,1995
1,12,The One with the Dozen Lasagnas,8,7443,1995
1,13,The One with the Boobies,8.5,7944,1995
1,14,The One with the Candy Hearts,8.1,7316,1995
1,15,The One with the Stoned Guy,8,7373,1995
1,16,The One with Two Parts: Part 1,7.9,7239,1995
1,17,The One with Two Parts: Part 2,8.3,7378,1995
1,18,The One with All the Poker,8.7,8083,1995
1,19,The One Where the Monkey Gets Away,7.9,7060,1995
1,20,The One with the Evil Orthodontist,7.7,7016,1995
1,21,The One with the Fake Monica,7.6,7075,1995
1,22,The One with the Ick Factor,8.1,7019,1995
1,23,The One with the Birth,8.6,7463,1995
1,24,The One Where Rachel Finds Out,8.8,7844,1995
2,1,The One with Ross's New Girlfriend,8.4,7208,1995
2,2,The One with the Breast Milk,8,6853,1995
2,3,The One Where Heckles Dies,8.2,6930,1995
2,4,The One with Phoebe's Husband,7.7,6672,1995
2,5,The One with Five Steaks and an Eggplant,8.1,6718,1995
2,6,The One with the Baby on the Bus,8.4,7174,1995
2,7,The One Where Ross Finds Out,8.9,8144,1995
2,8,The One with the List,8.3,6809,1995
2,9,The One with Phoebe's Dad,7.8,6468,1995
2,10,The One with Russ,7.8,6777,1996
2,11,The One with the Lesbian Wedding,7.9,6657,1996
2,12,The One After the Superbowl: Part 1,8.5,6957,1996
2,13,The One After the Superbowl: Part 2,8.7,7184,1996
2,14,The One with the Prom Video,9.3,10152,1996
2,15,The One Where Ross and Rachel... You Know,8.7,7155,1996
2,16,The One Where Joey Moves Out,8.5,6510,1996
2,17,The One Where Eddie Moves In,8.1,6354,1996
