season,episode,title,rating,votes
10,10,Ass Kickers United: Mac and Charlie Join a Cult,7.5,2976
11,1,Chardee MacDennis 2: Electric Boogaloo,8.6,3610
11,2,Frank Falls Out the Window,8,3191
11,3,The Gang Hits the Slopes,8.5,4186
11,4,Dee Made a Smut Film,7.6,3104
11,5,Mac & Dennis Move to the Suburbs,9.4,6452
11,6,Being Frank,8.3,3914
11,7,McPoyle vs. Ponderosa: The Trial of the Century,8.7,3741
11,8,Charlie Catches a Leprechaun,8.5,3329
11,9,The Gang Goes to Hell,8.4,3190
11,10,The Gang Goes to Hell: Part Two,8.4,3272
12,1,The Gang Turns Black,8.6,5543
12,2,The Gang Goes to a Water Park,9.5,6700
12,3,Old Lady House: A Situation Comedy,8.5,3750
12,4,Wolf Cola: A Public Relations Nightmare,8,3251
12,5,Making Dennis Reynolds a Murderer,8.6,3842
12,6,Hero or Hate Crime?,9.4,5774
12,7,PTSDee,8.6,3517
12,8,The Gang Tends Bar,8.1,3019
12,9,A Cricket's Tale,7.2,3156
12,10,Dennis' Double Life,8.5,3237
13,1,The Gang Makes Paddy's Great Again,7.5,3757
13,2,The Gang Escapes,7.9,3413
13,3,The Gang Beats Boggs: Ladies Reboot,6.6,4556
13,4,Time's Up for the Gang,9.2,4749
13,5,The Gang Gets New Wheels,8.9,4036
13,6,The Gang Solves the Bathroom Problem,8.2,3441
13,7,The Gang Does a Clip Show,7.5,3453
13,8,Charlie's Home Alone,6.8,3487
13,9,The Gang Wins the Big Game,7.1,3143
13,10,Mac Finds His Pride,8.7,7002
14,1,The Gang Gets Romantic,7.8,3184
14,2,Thunder Gun 4: Maximum Cool,7.8,3005
14,3,Dee Day,8.3,2694
14,4,The Gang Chokes,8,2757
14,5,The Gang Texts,8,2999
14,6,The Janitor Always Mops Twice,8.5,3491
14,7,The Gang Solves Global Warming,7.9,2581
14,8,Paddy's Has a Jumper,8.3,2629
14,9,A Woman's Right to Chop,7.8,2446
14,10,Waiting for Big Mo,7.6,2634
15,1,2020: A Year In Review,8,3370
15,2,The Gang Makes Lethal Weapon 7,7.7,2857
15,3,The Gang Buys a Roller Rink,7.6,2686
15,4,The Gang Replaces Dee With a Monkey,8,2515
15,5,The Gang Goes to Ireland,8,2456
15,6,The Gang's Still in Ireland,8.4,2566
15,7,Dee Sinks in a Bog,7.9,2227
15,8,The Gang Carries a Corpse Up a Mountain,8.8,3130
16,1,The Gang Inflates,8.1,2825
16,2,Frank Shoots Every Member of the Gang,7.7,2629
16,3,The Gang Gets Cursed,7.5,2282
16,4,Frank vs. Russia,8.7,3168
16,5,Celebrity Booze: The Ultimate Cash Grab,8,2462
16,6,Risk E. Rat's Pizza & Amusement Center,7.8,2237
16,7,The Gang Goes Bowling,8.6,2512
16,8,Dennis Takes a Mental Health Day,9.2,3749
17,1,The Gang F***s Up Abbott Elementary,6.9,2706
17,2,Frank Is in a Coma,8.5,2620
17,3,Mac and Dennis Become EMTs,8.9,3015
17,4,Thought Leadership: A Corporate Conversation,7.6,1852
17,5,The Gang Goes to a Dog Track,8.1,2001
17,6,Overage Drinking: A National Concern,7.5,1704
17,7,The Gang Gets Ready for Prime Time,9,2343
17,8,The Golden Bachelor Live,8.5,1891
