year,real_hpi,nominal_hpi
1890,100,3.5572964464730945
1891,88.01179105656392,3.209110823653542
1892,95.42173618250325,3.2671417607901345
1893,92.29738548098196,3.406416009917956
1894,123.98048277944352,3.969316100142899
1895,117.45509156635745,3.6037211961823687
1896,100.30299018534107,3.122064417948654
1897,106.51570280594892,3.2207170110808607
1898,110.18413977609032,3.4296283847725926
1899,103.85311334184749,3.2787479482174526
1900,101.57429475419818,3.7487985390238485
1901,87.32609550259289,3.145276792803291
1902,100.47364450144372,3.708176883028234
1903,93.07489238475267,3.7662078201648264
1904,101.85435896630196,3.940300631574603
1905,87.2485475278975,3.4528407596272293
1906,103.52516731881619,4.096984161843401
1907,109.31652066458435,4.520610002940524
1908,100.81918235205104,4.079574880702424
1909,95.38041378581768,3.9867253812838763
1910,93.1106367072284,4.305895535535133
1911,97.54333604485521,4.207242942402926
1912,102.3651618352995,4.3697295663853835
1913,95.40856079923094,4.3697295663853835
1914,96.97716369789562,4.532216190367842
1915,88.14876379786155,4.160818192693653
1916,93.72485164834045,4.555428565222479
1917,85.00903741862217,4.648278064641026
1918,75.56662106329527,4.944235844037646
1919,70.51379535554898,5.4374988096986785
1920,66.07414907003694,5.9597772439280075
1921,65.61430847947112,5.826306088513846
1922,74.79619714101761,5.907549400505074
1923,76.35007781532083,5.994595806209962
1924,74.28697788319552,6.006201993637281
1925,78.16282020753616,6.319569054174878
1926,72.4906015524438,6.064232930773873
1927,71.38030121096247,5.8379122759411635
1928,73.28212987318126,5.924958681646052
1929,72.61432987989278,5.803093713659209
1930,69.49191369505738,5.553560683971863
1931,68.64520320702393,5.100919374306445
1932,68.3371935122121,4.567034752649797
1933,72.86594697645334,4.3929419412400215
1934,73.27941112856544,4.520610002940524
1935,78.06999902861963,4.9620852592390055
1936,79.41489504934907,5.121795007574859
1937,79.71761780681189,5.253086651224617
1938,78.46465293653384,5.207191412156574
1939,78.54968493492916,5.139414232480237
1940,81.73080632803105,5.309354498503084
1941,73.81588342928296,4.8641848885954095
1942,68.50282682878371,5.026310175829581
1943,70.92297420081694,5.601634705199569
1944,80.30899578637265,6.530622547388007
1945,87.75004612093748,7.2997585507171605
1946,106.50589550863114,9.059123411833289
1947,109.32967071418366,10.98544463798022
1948,101.22257950824536,11.21158170601982
1949,100.04660762637593,11.221599087921668
1950,105.89483934250828,11.630109342784282
1951,103.89866872416337,12.333457433765126
1952,103.97432747997286,12.876953685886688
1953,114.2244593901547,14.359936883629192
1954,116.14194250680451,14.492439184746878
1955,115.70857704968955,14.492439184746878
1956,113.38194827058688,14.624941485864563
1957,113.18301036189271,15.02244838921762
1958,111.96060293356891,15.121825115055884
1959,110.17705487065328,15.138387902695596
1960,109.53064872874695,15.25432741617357
1961,109.8636409290081,15.403392504930968
1962,108.7678024053104,15.453080867850097
1963,109.30164923827613,15.784336620644313
1964,109.61374430985607,15.983090072320842
1965,109.32869928114924,16.248094674556214
1966,106.96597258800375,16.44684812623274
1967,106.21511008076146,16.82779224194609
1968,105.62083789449392,17.52342932281394
1969,106.41365750974344,18.749075608152534
1970,109.08004550010935,20.289414858645628
1971,110.11370337206131,21.150679815910586
1972,109.65517102212195,21.780065746219595
1973,104.3252001560194,22.525391190006577
1974,102.22255607603026,24.794493096646942
1975,102.06702153871254,26.474
1976,105.29159995173826,28.639
1977,113.14034717142142,32.836
1978,120.09982074631534,37.999
1979,120.57528778811228,43.221
1980,115.08917812759019,46.418
1981,111.04512854065864,48.783
1982,107.55209674356571,49.058
1983,108.54532674802266,51.388
1984,109.30705180214751,53.792
1985,113.17465519716364,57.811
1986,122.70622133763105,63.368
1987,126.72056195569624,68.343
1988,130.1186336174251,73.277
1989,129.80572720536668,76.498
1990,121.49441279918325,75.972
1991,117.68201539428534,75.843
1992,115.29959934875644,76.46300000000001
1993,114.63549060868354,78.112
1994,114.45765774161943,80.077
1995,113.62590560390558,81.513
1996,112.63935068531504,83.49
1997,115.2071183425195,86.84700000000001
1998,120.68517863445511,92.443
1999,126.55552407125487,99.542
2000,133.78350834392782,108.791
2001,140.53675089644366,116.056
2002,150.3973117025945,127.15100000000001
2003,162.10859521404902,139.628
2004,178.40823373774774,158.67
2005,195.82329705966038,180.107
2006,194.28276691087822,183.23
2007,176.58707083336324,173.338
2008,155.262394180886,152.545
2009,145.32194048381555,146.664
2010,137.29163347224363,140.632
2011,128.16170701152654,135.16899999999998
2012,134.0754586289096,143.868
2013,146.2422510956025,159.28
2014,151.68885769407294,166.46200000000002
2015,158.42184894282576,175.11900000000003
2016,163.4336314847811,184.407
2017,169.99167971602506,195.852
2018,174.34886025033666,204.709
2019,176.73372070352355,212.25099999999998
2020,192.55790491684962,234.405
2021,213.83940282938124,278.628
2022,212.18717376060243,294.32
2023,209.34974857263825,292.70599999999996
