season,episode,title,rating,votes
8,5,The Confession,8.2,2945
8,6,Parents,7.8,2730
8,7,Dead & Buried,8.1,2864
8,8,Perils of Paranoia,7.6,2748
8,9,Better Half,7.8,2853
8,10,Runaways,7.6,2710
8,11,Nobody's Fault,9.1,4405
8,12,Chase,8.8,3859
8,13,Man of the House,7.9,2731
8,14,Love Is Blind,7.8,2825
8,15,Blowing the Whistle,7.3,2690
8,16,Gut Check,7.5,2664
8,17,We Need the Eggs,7.7,2698
8,18,Body and Soul,7.8,2883
8,19,The C Word,9,4160
8,20,Post Mortem,8.8,3291
8,21,Holding On,9,3922
8,22,Everybody Dies,9.3,7906
8,23,House M.D. Swan Song,8.4,193
