imdb_id,series_title,season,episode,title,rating,votes,release_year
tt0903747,Breaking Bad,1,1,Pilot,9.1,57638,2008
tt0903747,Breaking Bad,1,2,Cat's in the Bag...,8.6,42364,2008
tt0903747,Breaking Bad,1,3,...And the Bag's in the River,8.7,40906,2008
tt0903747,Breaking Bad,1,4,Cancer Man,8.2,39132,2008
tt0903747,Breaking Bad,1,5,Gray Matter,8.3,38431,2008
tt0903747,Breaking Bad,1,6,Crazy Handful of Nothin',9.3,45068,2008
tt0903747,Breaking Bad,1,7,A No-Rough-Stuff-Type Deal,8.8,39377,2008
tt0903747,Breaking Bad,2,1,Seven Thirty-Seven,8.6,35612,2009
tt0903747,Breaking Bad,2,2,Grilled,9.3,40598,2009
tt0903747,Breaking Bad,2,3,Bit by a Dead Bee,8.3,34133,2009
tt0903747,Breaking Bad,2,4,Down,8.2,34180,2009
tt0903747,Breaking Bad,2,5,Breakage,8.2,33350,2009
tt0903747,Breaking Bad,2,6,Peekaboo,8.8,36324,2009
tt0903747,Breaking Bad,2,7,Negro y Azul,8.6,33598,2009
tt0903747,Breaking Bad,2,8,Better Call Saul,9.3,39726,2009
tt0903747,Breaking Bad,2,9,4 Days Out,9.2,37930,2009
tt0903747,Breaking Bad,2,10,Over,8.4,32717,2009
tt0903747,Breaking Bad,2,11,Mandala,8.9,33745,2009
tt0903747,Breaking Bad,2,12,Phoenix,9.3,38064,2009
tt0903747,Breaking Bad,2,13,ABQ,9.2,37207,2009
tt0903747,Breaking Bad,3,1,No Más,8.5,32240,2010
tt0903747,Breaking Bad,3,2,Caballo sin Nombre,8.6,31613,2010
tt0903747,Breaking Bad,3,3,I.F.T.,8.4,31297,2010
tt0903747,Breaking Bad,3,4,Green Light,8.1,31894,2010
tt0903747,Breaking Bad,3,5,Más,8.5,30662,2010
tt0903747,Breaking Bad,3,6,Sunset,9.3,35456,2010
tt0903747,Breaking Bad,3,7,One Minute,9.6,42993,2010
tt0903747,Breaking Bad,3,8,I See You,8.7,31575,2010
tt0903747,Breaking Bad,3,9,Kafkaesque,8.4,30951,2010
tt0903747,Breaking Bad,3,10,Fly,8,65478,2010
tt0903747,Breaking Bad,3,11,Abiquiu,8.4,30885,2010
tt0903747,Breaking Bad,3,12,Half Measures,9.5,42272,2010
tt0903747,Breaking Bad,3,13,Full Measure,9.7,48432,2010
tt0903747,Breaking Bad,4,1,Box Cutter,9.2,37692,2011
tt0903747,Breaking Bad,4,2,Thirty-Eight Snub,8.2,31458,2011
tt0903747,Breaking Bad,4,3,Open House,8,32512,2011
tt0903747,Breaking Bad,4,4,Bullet Points,8.5,30528,2011
tt0903747,Breaking Bad,4,5,Shotgun,8.6,30551,2011
tt0903747,Breaking Bad,4,6,Cornered,8.4,30937,2011
tt0903747,Breaking Bad,4,7,Problem Dog,8.8,31900,2011
tt0903747,Breaking Bad,4,8,Hermanos,9.3,35918,2011
tt0903747,Breaking Bad,4,9,Bug,8.9,32499,2011
tt0903747,Breaking Bad,4,10,Salud,9.6,44659,2011
tt0903747,Breaking Bad,4,11,Crawl Space,9.7,53590,2011
tt0903747,Breaking Bad,4,12,End Times,9.5,40589,2011
tt0903747,Breaking Bad,4,13,Face Off,9.9,94268,2011
tt0903747,Breaking Bad,5,1,Live Free or Die,9.2,41500,2012
tt0903747,Breaking Bad,5,2,Madrigal,8.8,36474,2012
tt0903747,Breaking Bad,5,3,Hazard Pay,8.8,35853,2012
tt0903747,Breaking Bad,5,4,Fifty-One,8.8,36087,2012
tt0903747,Breaking Bad,5,5,Dead Freight,9.7,52099,2012
tt0903747,Breaking Bad,5,6,Buyout,9,36839,2012
tt0903747,Breaking Bad,5,7,Say My Name,9.6,48796,2012
tt0903747,Breaking Bad,5,8,Gliding Over All,9.6,45690,2012
tt0903747,Breaking Bad,5,9,Blood Money,9.5,43548,2013
tt0903747,Breaking Bad,5,10,Buried,9.2,39409,2013
tt0903747,Breaking Bad,5,11,Confessions,9.6,47433,2013
tt0903747,Breaking Bad,5,12,Rabid Dog,9.2,41076,2013
tt0903747,Breaking Bad,5,13,To'hajiilee,9.8,70181,2013
tt0903747,Breaking Bad,5,14,Ozymandias,10,271623,2013
tt0903747,Breaking Bad,5,15,Granite State,9.7,68600,2013
tt0903747,Breaking Bad,5,16,Felina,9.9,172863,2013
tt5491994,Planet Earth II,1,1,Islands,9.2,8107,2017
tt5491994,Planet Earth II,1,2,Mountains,9.1,4109,2017
tt5491994,Planet Earth II,1,3,Jungles,8.9,3652,2017
tt5491994,Planet Earth II,1,4,Deserts,8.8,3274,2017
tt5491994,Planet Earth II,1,5,Grasslands,8.7,3027,2017
tt5491994,Planet Earth II,1,6,Cities,9,3197,2017
tt0795176,Planet Earth,1,1,From Pole to Pole,9,4417,2007
tt0795176,Planet Earth,1,2,Mountains,8.8,3796,2007
tt0795176,Planet Earth,1,3,Fresh Water,8.8,3477,2007
tt0795176,Planet Earth,1,4,Caves,8.8,3364,2007
tt0795176,Planet Earth,1,5,Deserts,8.6,3200,2007
tt0795176,Planet Earth,1,6,Ice Worlds,8.9,3150,2007
tt0795176,Planet Earth,1,7,Great Plains,8.6,2959,2007
tt0795176,Planet Earth,1,8,Jungles,8.9,3043,2007
tt0795176,Planet Earth,1,9,Shallow Seas,8.8,2917,2007
tt0795176,Planet Earth,1,10,Seasonal Forests,8.8,2805,2007
tt0795176,Planet Earth,1,11,Ocean Deep,8.9,2894,2007
tt0185906,Band of Brothers,1,1,Currahee,8.6,13759,2001
tt0185906,Band of Brothers,1,2,Day of Days,9.1,12718,2001
tt0185906,Band of Brothers,1,3,Carentan,9,11495,2001
tt0185906,Band of Brothers,1,4,Replacements,8.8,10801,2001
tt0185906,Band of Brothers,1,5,Crossroads,8.8,10583,2001
tt0185906,Band of Brothers,1,6,Bastogne,9.2,12082,2001
tt0185906,Band of Brothers,1,7,The Breaking Point,9.4,11632,2001
tt0185906,Band of Brothers,1,8,The Last Patrol,8.7,9779,2001
tt0185906,Band of Brothers,1,9,Why We Fight,9.5,13002,2001
tt0185906,Band of Brothers,1,10,Points,9.2,10061,2001
tt7366338,Chernobyl,1,1,1:23:45,9.4,61759,2019
tt7366338,Chernobyl,1,2,Please Remain Calm,9.6,56562,2019
tt7366338,Chernobyl,1,3,"Open Wide, O Earth",9.5,52846,2019
tt7366338,Chernobyl,1,4,The Happiness of All Mankind,9.3,49980,2019
tt7366338,Chernobyl,1,5,Vichnaya Pamyat,9.8,68616,2019
tt0306414,The Wire,1,1,The Target,7.8,9649,2002
tt0306414,The Wire,1,2,The Detail,8.1,7817,2002
tt0306414,The Wire,1,3,The Buys,8.1,7313,2002
tt0306414,The Wire,1,4,Old Cases,8.2,7076,2002
tt0306414,The Wire,1,5,The Pager,8.2,6768,2002
tt0306414,The Wire,1,6,The Wire,8.5,6946,2002
tt0306414,The Wire,1,7,One Arrest,8.4,6525,2002
tt0306414,The Wire,1,8,Lessons,8.5,6524,2002
tt0306414,The Wire,1,9,Game Day,8.7,6756,2002
tt0306414,The Wire,1,10,The Cost,9.2,7795,2002
tt0306414,The Wire,1,11,The Hunt,8.8,6696,2002
tt0306414,The Wire,1,12,Cleaning Up,9.1,7311,2002
tt0306414,The Wire,1,13,Sentencing,9,7108,2002
tt0306414,The Wire,2,1,Ebb Tide,7.7,6160,2003
tt0306414,The Wire,2,2,Collateral Damage,8,5724,2003
tt0306414,The Wire,2,3,Hot Shots,8,5557,2003
tt0306414,The Wire,2,4,Hard Cases,8,5463,2003
tt0306414,The Wire,2,5,Undertow,8.1,5352,2003
tt0306414,The Wire,2,6,All Prologue,8.8,6101,2003
tt0306414,The Wire,2,7,Backwash,8.2,5280,2003
tt0306414,The Wire,2,8,Duck and Cover,8.3,5340,2003
tt0306414,The Wire,2,9,Stray Rounds,8.5,5383,2003
tt0306414,The Wire,2,10,Storm Warnings,9,6045,2003
tt0306414,The Wire,2,11,Bad Dreams,9.2,6636,2003
tt0306414,The Wire,2,12,Port in a Storm,9,6182,2003
tt0306414,The Wire,3,1,Time After Time,8,5227,2004
tt0306414,The Wire,3,2,All Due Respect,8.3,5106,2004
tt0306414,The Wire,3,3,Dead Soldiers,8.3,5085,2004
tt0306414,The Wire,3,4,Amsterdam,8.3,5041,2004
tt0306414,The Wire,3,5,Straight and True,8.5,5032,2004
tt0306414,The Wire,3,6,Homecoming,8.6,5068,2004
tt0306414,The Wire,3,7,Back Burners,8.5,4937,2004
tt0306414,The Wire,3,8,Moral Midgetry,8.9,5534,2004
tt0306414,The Wire,3,9,Slapstick,8.7,5101,2004
tt0306414,The Wire,3,10,Reformation,8.7,5075,2004
tt0306414,The Wire,3,11,Middle Ground,9.6,9055,2004
tt0306414,The Wire,3,12,Mission Accomplished,9.3,6383,2004
tt0306414,The Wire,4,1,Boys of Summer,8.3,5076,2006
tt0306414,The Wire,4,2,Soft Eyes,8.4,4820,2006
tt0306414,The Wire,4,3,Home Rooms,8.6,4873,2006
tt0306414,The Wire,4,4,Refugees,8.3,4717,2006
tt0306414,The Wire,4,5,Alliances,8.5,4702,2006
tt0306414,The Wire,4,6,Margin of Error,8.7,4925,2006
tt0306414,The Wire,4,7,Unto Others,8.4,4641,2006
tt0306414,The Wire,4,8,Corner Boys,8.5,4712,2006
tt0306414,The Wire,4,9,Know Your Place,8.5,4646,2006
tt0306414,The Wire,4,10,Misgivings,8.8,4971,2006
tt0306414,The Wire,4,11,A New Day,8.9,5106,2006
tt0306414,The Wire,4,12,That's Got His Own,9.3,5981,2006
tt0306414,The Wire,4,13,Final Grades,9.5,7747,2006
tt0306414,The Wire,5,1,More with Less,8,4673,2008
tt0306414,The Wire,5,2,Unconfirmed Reports,8.1,4490,2008
tt0306414,The Wire,5,3,Not for Attribution,8.5,4589,2008
tt0306414,The Wire,5,4,Transitions,8.8,4792,2008
tt0306414,The Wire,5,5,React Quotes,8.6,4559,2008
tt0306414,The Wire,5,6,The Dickensian Aspect,8.3,4416,2008
tt0306414,The Wire,5,7,Took,8.4,4511,2008
tt0306414,The Wire,5,8,Clarifications,8.9,5211,2008
tt0306414,The Wire,5,9,Late Editions,9.4,5803,2008
tt0306414,The Wire,5,10,-30-,9.6,8386,2008
tt0417299,Avatar: The Last Airbender,1,1,The Boy in the Iceberg,7.9,8414,2005
tt0417299,Avatar: The Last Airbender,1,2,The Avatar Returns,8.1,7612,2005
tt0417299,Avatar: The Last Airbender,1,3,The Southern Air Temple,8.4,7460,2005
tt0417299,Avatar: The Last Airbender,1,4,The Warriors of Kyoshi,8,7244,2005
tt0417299,Avatar: The Last Airbender,1,5,The King of Omashu,8,7211,2005
tt0417299,Avatar: The Last Airbender,1,6,Imprisoned,7.7,6985,2005
tt0417299,Avatar: The Last Airbender,1,7,"The Spirit World (Winter Solstice, Part 1)",8,6803,2005
tt0417299,Avatar: The Last Airbender,1,8,"Avatar Roku (Winter Solstice, Part 2)",8.8,7329,2005
tt0417299,Avatar: The Last Airbender,1,9,The Waterbending Scroll,7.8,6645,2005
tt0417299,Avatar: The Last Airbender,1,10,Jet,7.6,6824,2005
tt0417299,Avatar: The Last Airbender,1,11,The Great Divide,6.8,7132,2005
tt0417299,Avatar: The Last Airbender,1,12,The Storm,9,7745,2005
tt0417299,Avatar: The Last Airbender,1,13,The Blue Spirit,9.1,7824,2005
tt0417299,Avatar: The Last Airbender,1,14,The Fortuneteller,7.7,6501,2005
tt0417299,Avatar: The Last Airbender,1,15,Bato of the Water Tribe,7.7,6407,2005
tt0417299,Avatar: The Last Airbender,1,16,The Deserter,8.4,6522,2005
tt0417299,Avatar: The Last Airbender,1,17,The Northern Air Temple,7.8,6324,2005
tt0417299,Avatar: The Last Airbender,1,18,The Waterbending Master,8.6,6552,2005
tt0417299,Avatar: The Last Airbender,1,19,"The Siege of the North, Part 1",9.3,7891,2005
tt0417299,Avatar: The Last Airbender,1,20,"The Siege of the North, Part 2",9.6,7832,2005
tt0417299,Avatar: The Last Airbender,2,1,The Avatar State,8.6,6515,2006
tt0417299,Avatar: The Last Airbender,2,2,The Cave of Two Lovers,8.1,6412,2006
tt0417299,Avatar: The Last Airbender,2,3,Return to Omashu,8.2,6065,2006
tt0417299,Avatar: The Last Airbender,2,4,The Swamp,7.5,6193,2006
tt0417299,Avatar: The Last Airbender,2,5,Avatar Day,7.3,6134,2006
tt0417299,Avatar: The Last Airbender,2,6,The Blind Bandit,9.1,7515,2006
tt0417299,Avatar: The Last Airbender,2,7,Zuko Alone,9.5,9696,2006
tt0417299,Avatar: The Last Airbender,2,8,The Chase,9,6833,2006
tt0417299,Avatar: The Last Airbender,2,9,Bitter Work,8.5,6208,2006
tt0417299,Avatar: The Last Airbender,2,10,The Library,8.7,6478,2006
tt0417299,Avatar: The Last Airbender,2,11,The Desert,8.7,6316,2006
tt0417299,Avatar: The Last Airbender,2,12,The Serpent's Pass,8.3,5931,2006
