name,address,country_code,date_utc,google_maps_url,latitude,longitude
Bo de B,"Carrer Merce, Carrer de la Mercè, 35, bajos, Ciutat Vella, 08002 Barcelona, Spain",ES,2023-06-01 00:00:00,http://maps.google.com/?cid=10290170867089834658,41.3812242,2.1811287
Padeirinha Doce,"R. de Augusto Rosa 46, 4000-098 Porto, Portugal",PT,2023-05-24 00:00:00,http://maps.google.com/?cid=9603193242325480471,41.1436365,-8.6077204
Nata Lisboa,"R. das Flores 291, 4050-267 Porto, Portugal",PT,2023-05-24 00:00:00,http://maps.google.com/?cid=1273779741195657427,41.1451638,-8.6114675
Bang Bang Noodles,"1809 E 7th St, Los Angeles, CA 90021, United States",US,2023-04-21 00:00:00,http://maps.google.com/?cid=12259410819990851723,34.0348455,-118.2341189
Lucky Boy,"640 S Arroyo Pkwy, Pasadena, CA 91105, United States",US,2023-04-14 00:00:00,http://maps.google.com/?cid=11362781399445796137,34.1346349,-118.1470559
Sumran Thai Cuisine,"6482 Westminster Blvd., Westminster, CA 92683, United States",US,2023-04-10 00:00:00,http://maps.google.com/?cid=4751606075846052168,33.7582989,-118.0162726
Kitakata Ramen Ban Nai - Costa Mesa,"891 Baker St B21, Costa Mesa, CA 92626, United States",US,2023-04-06 00:00:00,http://maps.google.com/?cid=3095548944288427112,33.6794523,-117.8937721
Villa's Tacos Los Angeles,"5455 N Figueroa St, Los Angeles, CA 90042, United States",US,2023-04-06 00:00:00,http://maps.google.com/?cid=7362886404067133585,34.1086054,-118.1968497
Phnom Penh Noodle Shack,"1644 Cherry Ave, Long Beach, CA 90813, United States",US,2023-03-11 00:00:00,http://maps.google.com/?cid=13696021786380741209,33.7879375,-118.1675313
Sky's Gourmet Tacos,"5303 W Pico Blvd Suite #01, Los Angeles, CA 90019, United States",US,2023-03-01 00:00:00,http://maps.google.com/?cid=3139395099554495075,34.0487083,-118.3538207
Pom & Olive,"1400 Bristol St C, Costa Mesa, CA 92626, United States",US,2023-02-10 00:00:00,http://maps.google.com/?cid=929922682556676013,33.6668541,-117.8831276
Taste of Tehran Restaurant,"1915 Westwood Blvd, Los Angeles, CA 90025, United States",US,2023-02-10 00:00:00,http://maps.google.com/?cid=17318581476440575837,34.0477204,-118.4352526
