name,address,country_code,date_utc,google_maps_url,latitude,longitude
The Apple Pan,"10801 W Pico Blvd, Los Angeles, CA 90064, United States",US,2019-12-21 00:00:00,http://maps.google.com/?cid=14202941258591444234,34.0406564,-118.4277627
Ono Seafood,"747 Kapahulu Ave, Honolulu, HI 96816, United States",US,2019-12-20 00:00:00,http://maps.google.com/?cid=12136403318055948207,21.2810622,-157.8138535
Diamond Head Market & Grill,"3158 Monsarrat Ave, Honolulu, HI 96815, United States",US,2019-12-20 00:00:00,http://maps.google.com/?cid=4852075507956333323,21.269799,-157.8115993
The Beet Box Cafe,"46 Hoolai St, Kailua, HI 96734, United States",US,2019-11-19 00:00:00,http://maps.google.com/?cid=15194403696834891223,21.3951728,-157.7448942
Leonard's Bakery,"933 Kapahulu Ave, Honolulu, HI 96816, United States",US,2019-11-13 00:00:00,http://maps.google.com/?cid=13387801996287121422,21.2848746,-157.8133438
Halona Blowhole Lookout,"8483 HI-72, Honolulu, HI 96825, United States",US,2019-08-25 00:00:00,http://maps.google.com/?cid=3141118850009516640,21.2823969,-157.67703
Lanikai Pillbox,"Kailua, HI 96734, United States",US,2019-08-25 00:00:00,http://maps.google.com/?cid=14233189552741137738,21.3855953,-157.7166534
Three Tables,"Pupukea, HI 96712, United States",,2019-08-25 00:00:00,http://maps.google.com/?cid=13679338387795331477,21.6460583,-158.0636802
No location information is available for this saved place,,,2019-08-19 00:00:00,"http://maps.google.com/?q=Koko+Head,+Honolulu,+HI+96825&ftid=0x7c000d878e791195:0xab66a789101d4388",0,0
Manoa Falls,"37 Manoa Rd, Honolulu, HI 96822, United States",US,2019-08-05 00:00:00,http://maps.google.com/?cid=4814706194112391795,21.3420278,-157.7992444
Trailhead for Kolowalu and Puʻu Pia Trails,"3680 Alani Dr, Honolulu, HI 96822, United States",US,2019-06-29 00:00:00,http://maps.google.com/?cid=14606099951983501182,21.3215223,-157.798646
Moose McGillycuddy's,"310 Lewers St, Honolulu, HI 96815, United States",US,2019-05-16 00:00:00,http://maps.google.com/?cid=2938484525785620114,21.2804549,-157.829516
Outrigger Canoe Club,"2909 Kalākaua Ave, Honolulu, HI 96815, United States",US,2019-03-11 00:00:00,http://maps.google.com/?cid=10184012368297544699,21.2618772,-157.8211845
No location information is available for this saved place,,,2019-01-13 00:00:00,"http://maps.google.com/?q=Queens+Beach,+Honolulu,+HI+96815&ftid=0x7c0072705ef9b0a1:0xa527f345ca6b90c2",0,0
Guerrilla Tacos,"2000 E 7th St, Los Angeles, CA 90021, United States",US,2018-12-02 00:00:00,http://maps.google.com/?cid=370497447548640604,34.0344502,-118.2320375
Bull Demon King Cafe,"8632 Valley Blvd, Rosemead, CA 91770, United States",US,2018-12-01 00:00:00,http://maps.google.com/?cid=2615766962920499073,34.0803897,-118.0812064
Cupid's Hot Dogs,"9039 Lindley Ave, Northridge, CA 91325, United States",US,2018-11-28 00:00:00,http://maps.google.com/?cid=5133724163214795986,34.2349565,-118.5275549
No location information is available for this saved place,,,2018-11-25 00:00:00,"http://maps.google.com/?q=225+W+35th+St,+New+York,+NY+10001&ftid=0x89c259ac39e113a5:0xb4e02b7d6f35470d",0,0
Sichuan Impression,"235 W Main St SuiteB, Alhambra, CA 91801, United States",US,2018-09-24 00:00:00,http://maps.google.com/?cid=9779893004379815837,34.0943092,-118.1299999
MIAN,"301 W Valley Blvd #114-115, San Gabriel, CA 91776, United States",US,2018-09-17 00:00:00,http://maps.google.com/?cid=14161624587339441048,34.0801432,-118.1043411
The Sycamore Kitchen,"143 S La Brea Ave, Los Angeles, CA 90036, United States",US,2018-09-06 00:00:00,http://maps.google.com/?cid=8406632577326065627,34.0723645,-118.3443467
Manuela,"907 E 3rd St, Los Angeles, CA 90013, United States",US,2018-08-15 00:00:00,http://maps.google.com/?cid=8730212914713626401,34.0464599,-118.2348337
The Late Show with Stephen Colbert,"1697 Broadway, New York, NY 10019, United States",US,2018-07-23 00:00:00,http://maps.google.com/?cid=10952292251509571980,40.7637545,-73.9828345
Rockefeller Center,"45 Rockefeller Plaza, New York, NY 10111, United States",US,2018-07-23 00:00:00,http://maps.google.com/?cid=3734087314244816034,40.7587402,-73.9786736
Kéan Coffee,"2043 Westcliff Dr #100, Newport Beach, CA 92660, United States",US,2018-06-01 00:00:00,http://maps.google.com/?cid=17779965694766655,33.6276558,-117.9084044
Aqui es Texcoco,"5850 S Eastern Ave, Commerce, CA 90040, United States",US,2018-04-13 00:00:00,http://maps.google.com/?cid=15637563825127712266,33.9846641,-118.1619473
Runkle Canyon Park,"3302 Fir Ave, Simi Valley, CA 93065, United States",US,2018-02-19 00:00:00,http://maps.google.com/?cid=7311360992505104771,34.2466769,-118.7329029
Kobee Factory,"14110 Oxnard St, Sherman Oaks, CA 91401, United States",US,2017-11-29 00:00:00,http://maps.google.com/?cid=2853479463298217920,34.1792276,-118.440461
Taco Mesa,"647 W 19th St, Costa Mesa, CA 92627, United States",US,2017-11-14 00:00:00,http://maps.google.com/?cid=2088333943542723422,33.6432139,-117.9252784
